hg19	hg38	circBase	circAtlas	circBank	ArrayStar	HGNC	strand	spliced_length	circBase_type	CSCD_type	algorithm
chr12:57861115-57862007	chr12:57467332-57468224	hsa_circ_0005358	hsa-GLI1_000001,hsa-GLI1_0001	hsa_circGLI1_006	ASCRP3004177	GLI1	+	396	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:57891939-57892406	chr12:57498156-57498623	hsa_circ_0027261	hsa-MARS_0004	hsa_circMARS_011	ASCRP3000418	MARS,MARS1	+	321	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:57928838-57929628	chr12:57535055-57535845	hsa_circ_0004034	hsa-DCTN2_000001,hsa-DCTN2_0001	hsa_circDCTN2_007	ASCRP3011813	DCTN2	-	258	exonic	Exon	circexplorer2,circrna_finder,ciri,find_circ
chr12:58142964-58143287	chr12:57749181-57749504	hsa_circ_0006606	hsa-CDK4_0001	hsa_circCDK4_007	ASCRP3009246	CDK4	-	187	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:58339410-58347472	chr12:57945627-57953689	hsa_circ_0098895	hsa-ATP23_0001,hsa-XRCC6BP1_000001	hsa_circXRCC6BP1_002	ASCRP3000355	ATP23,XRCC6BP1	+	350	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:58340777-58347472	chr12:57946994-57953689	hsa_circ_0000412	hsa-ATP23_0003,hsa-XRCC6BP1_000002	hsa_circXRCC6BP1_003	ASCRP3000997	ATP23,XRCC6BP1	+	304	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:62743001-62749256	chr12:62349220-62355475	hsa_circ_0027355	hsa-USP15_0004	hsa_circUSP15_011	ASCRP3010318	USP15	+	232	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:63083478-63114069	chr12:62689698-62720289	hsa_circ_0098947	hsa-PPM1H_0004	hsa_circPPM1H_001	ASCRP3004706	PPM1H	-	291	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:64456696-64509673	chr12:64062916-64115893	hsa_circ_0008594	hsa-SRGAP1_0025	hsa_circSRGAP1_021	ASCRP3002440	SRGAP1	+	1423	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:65122735-65138687	chr12:64728955-64744907	hsa_circ_0098980	hsa-GNS_0017	hsa_circGNS_015	ASCRP3001438	GNS	-	675	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:6630963-6631203	chr12:6521797-6522037	hsa_circ_0007899	hsa-NCAPD2_0004	hsa_circNCAPD2_018	ASCRP3002002	NCAPD2	+	240	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:6630963-6632512	chr12:6521797-6523346	hsa_circ_0025162	hsa-NCAPD2_0002	hsa_circNCAPD2_020	ASCRP3009831	NCAPD2	+	500	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:6657590-6657991	chr12:6548424-6548825	hsa_circ_0000375	hsa-IFFO1_000001,hsa-IFFO1_0001	hsa_circIFFO1_001	ASCRP3008343	IFFO1	-	279	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:66923610-66990707	chr12:66529830-66596927	hsa_circ_0099053	hsa-GRIP1_0004	hsa_circGRIP1_002	ASCRP3001749	GRIP1	-	447	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:6859013-6859932	chr12:6749847-6750766	hsa_circ_0007845	hsa-MLF2_000002,hsa-MLF2_0001	hsa_circMLF2_006	ASCRP3009435	MLF2	-	343	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:69109406-69119576	chr12:68715626-68725796	hsa_circ_0003599	hsa-NUP107_000002,hsa-NUP107_0050	hsa_circNUP107_024	ASCRP3010348	NUP107	+	607	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:69109406-69125499	chr12:68715626-68731719	hsa_circ_0027478	hsa-NUP107_000003,hsa-NUP107_0006	hsa_circNUP107_027	ASCRP3003988	NUP107	+	1029	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:69210591-69218431	chr12:68816811-68824651	hsa_circ_0027491	hsa-MDM2_000003,hsa-MDM2_0007	hsa_circMDM2_003	ASCRP3001309	MDM2	+	349	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:69214104-69218431	chr12:68820324-68824651	hsa_circ_0004448	hsa-MDM2_000002,hsa-MDM2_0002	hsa_circMDM2_005	ASCRP3007624	MDM2	+	215	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:69214104-69222711	chr12:68820324-68828931	hsa_circ_0000416	hsa-MDM2_0008	hsa_circMDM2_006	ASCRP3010122	MDM2	+	376	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:69644908-69656342	chr12:69251128-69262562	hsa_circ_0000417	hsa-CPSF6_000028,hsa-CPSF6_0011	hsa_circCPSF6_006	ASCRP3009147	CPSF6	+	1599	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:69653207-69656342	chr12:69259427-69262562	hsa_circ_0027506	hsa-CPSF6_000007,hsa-CPSF6_0003	hsa_circCPSF6_014	ASCRP3002686	CPSF6	+	460	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:69983264-69985939	chr12:69589484-69592159	hsa_circ_0000418	hsa-CCT2_000002,hsa-CCT2_0004	hsa_circCCT2_007	ASCRP3012037	CCT2	+	304	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:69983264-69987393	chr12:69589484-69593613	hsa_circ_0002940	hsa-CCT2_000001,hsa-CCT2_0003	hsa_circCCT2_009	ASCRP3009817	CCT2	+	536	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:70149163-70150443	chr12:69755383-69756663	hsa_circ_0099132	hsa-RAB3IP_000021,hsa-RAB3IP_0001	hsa_circRAB3IP_002	ASCRP3000222	RAB3IP	+	535	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:70193988-70195501	chr12:69800208-69801721	hsa_circ_0000419	hsa-RAB3IP_000020,hsa-RAB3IP_0013	hsa_circRAB3IP_008	ASCRP3000887	RAB3IP	+	242	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:70671911-70704797	chr12:70278131-70311017	hsa_circ_0007127	hsa-CNOT2_000055,hsa-CNOT2_0003	hsa_circCNOT2_005	ASCRP3001216	CNOT2	+	490	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:70671911-70713144	chr12:70278131-70319364	hsa_circ_0027545	hsa-CNOT2_000052,hsa-CNOT2_0008	hsa_circCNOT2_006	ASCRP3010711	CNOT2	+	557	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:72020039-72022817	chr12:71626259-71629037	hsa_circ_0008912	hsa-ZFC3H1_000002,hsa-ZFC3H1_0010	hsa_circZFC3H1_022	ASCRP3012680	ZFC3H1	-	491	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:7301567-7303659	chr12:7148971-7151063	hsa_circ_0099201	hsa-CLSTN3_0001	hsa_circCLSTN3_004	ASCRP3006208	CLSTN3	+	680	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:76461150-76462774	chr12:76067370-76068994	hsa_circ_0027612	hsa-NAP1L1_0004	hsa_circNAP1L1_004	ASCRP3001662	NAP1L1	-	189	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:78334098-78415642	chr12:77940318-78021862	hsa_circ_0008509	hsa-NAV3_000096,hsa-NAV3_0004	hsa_circNAV3_007	ASCRP3011268	NAV3	+	1780	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:78400198-78452895	chr12:78006418-78059115	hsa_circ_0003188	hsa-NAV3_0019	hsa_circNAV3_042	ASCRP3004469	NAV3	+	1756	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:81503338-81545875	chr12:81109559-81152096	hsa_circ_0099310	hsa-ACSS3_000007,hsa-ACSS3_0006	hsa_circACSS3_002	ASCRP3011637	ACSS3	+	787	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:81536885-81545875	chr12:81143106-81152096	hsa_circ_0027679	hsa-ACSS3_000018,hsa-ACSS3_0026	hsa_circACSS3_003	ASCRP3002690	ACSS3	+	318	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:8192414-8192761	chr12:8039818-8040165	hsa_circ_0025359	hsa-FOXJ2_000004,hsa-FOXJ2_0001	hsa_circFOXJ2_002	ASCRP3011671	FOXJ2	+	347	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:82780581-82796909	chr12:82386802-82403130	hsa_circ_0099356	hsa-METTL25_000001,hsa-METTL25_0002	hsa_circC12orf26_001	ASCRP3009754	METTL25	+	1020	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:83250788-83251359	chr12:82857009-82857580	hsa_circ_0002886	hsa-TMTC2_000001,hsa-TMTC2_0011	hsa_circTMTC2_002	ASCRP3010746	TMTC2	+	571	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:83289596-83290425	chr12:82895817-82896646	hsa_circ_0099366	hsa-TMTC2_000003,hsa-TMTC2_0012	hsa_circTMTC2_007	ASCRP3001924	TMTC2	+	829	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:85459039-85460676	chr12:85065261-85066898	hsa_circ_0099386	hsa-LRRIQ1_000017,hsa-LRRIQ1_0019	hsa_circLRRIQ1_001	ASCRP3001537	LRRIQ1	+	304	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:8866406-8866637	chr12:8713810-8714041	hsa_circ_0025372	hsa-RIMKLB_000006,hsa-RIMKLB_0002	hsa_circRIMKLB_003	ASCRP3010195	RIMKLB	+	231	exonic	Exon	circexplorer2,circrna_finder,ciri,find_circ
chr12:88898935-88939642	chr12:88505158-88545865	hsa_circ_0002375	hsa-KITLG_000001,hsa-KITLG_0002	hsa_circKITLG_007	ASCRP3001084	KITLG	-	844	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:89853414-89866052	chr12:89459637-89472275	hsa_circ_0099436	hsa-POC1B_000001,hsa-POC1B_0005	hsa_circPOC1B_008	ASCRP3001526	POC1B	-	684	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:90035934-90049884	chr12:89642157-89656107	hsa_circ_0000426	hsa-ATP2B1_0002	hsa_circATP2B1_004	ASCRP3013248	ATP2B1	-	627	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:9020437-9021799	chr12:8867841-8869203	hsa_circ_0025388	hsa-A2ML1_0001	hsa_circA2ML1_012	ASCRP3003324	A2ML1	+	504	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:9096000-9096506	chr12:8943404-8943910	hsa_circ_0002373	hsa-M6PR_000001,hsa-M6PR_0001	hsa_circM6PR_001	ASCRP3006137	M6PR	-	241	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:93960519-93960935	chr12:93566743-93567159	hsa_circ_0027719	hsa-SOCS2-AS1_0008	hsa_circLOC144481_001	ASCRP3008035	SOCS2-AS1	-	323	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:95498782-95535315	chr12:95105006-95141539	hsa_circ_0099545	hsa-FGD6_000002,hsa-FGD6_0005	hsa_circFGD6_021	ASCRP3003164	FGD6	-	812	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:95645715-95660408	chr12:95251939-95266632	hsa_circ_0099555	hsa-VEZT_0017	hsa_circVEZT_005	ASCRP3005044	VEZT	+	747	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:95681439-95690034	chr12:95287663-95296258	hsa_circ_0099574	hsa-VEZT_000055,hsa-VEZT_0003	hsa_circVEZT_030	ASCRP3004172	VEZT	+	503	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:95879654-95897937	chr12:95485878-95504161	hsa_circ_0027774	hsa-METAP2_000002,hsa-METAP2_0009	hsa_circMETAP2_004	ASCRP3009359	METAP2	+	639	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:96076482-96077487	chr12:95682706-95683711	hsa_circ_0006419	hsa-NTN4_000002,hsa-NTN4_0005	hsa_circNTN4_012	ASCRP3010502	MLF2,NTN4	-	330	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:96692646-96694138	chr12:96298868-96300360	hsa_circ_0007881	hsa-CDK17_000002,hsa-CDK17_0030	hsa_circCDK17_009	ASCRP3008890	CDK17	-	172	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:96717725-96728643	chr12:96323947-96334865	hsa_circ_0002762	hsa-CDK17_000001,hsa-CDK17_0013	hsa_circCDK17_001	ASCRP3006970	CDK17	-	312	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:97178494-97222866	chr12:96784716-96829088	hsa_circ_0099617	hsa-C12orf55_000003,hsa-CFAP54_0028	hsa_circC12orf55_025	ASCRP3009005	C12ORF55,CFAP54	+	890	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:97303529-97306595	chr12:96909751-96912817	hsa_circ_0027819	hsa-NEDD1_0002	hsa_circNEDD1_006	ASCRP3006062	NEDD1	+	239	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:98921663-98931350	chr12:98527885-98537572	hsa_circ_0003517	hsa-TMPO_000001,hsa-TMPO_0002	hsa_circTMPO_003	ASCRP3008842	TMPO	+	384	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr12:99071202-99080651	chr12:98677424-98686873	hsa_circ_0004901	hsa-APAF1_000001,hsa-APAF1_0007	hsa_circAPAF1_017	ASCRP3008672	APAF1	+	511	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:100909848-100925600	chr13:100257594-100273346	hsa_circ_0000500	hsa-PCCA_0001,hsa-PCCA_000124	hsa_circPCCA_022	ASCRP3013595	PCCA	+	428	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:100953713-100962162	chr13:100301459-100309908	hsa_circ_0002664	hsa-PCCA_000129,hsa-PCCA_0023	hsa_circPCCA_037	ASCRP3008095	PCCA	+	364	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:101936283-101944717	chr13:101283932-101292366	hsa_circ_0030787	hsa-NALCN_000002,hsa-NALCN_0007	hsa_circNALCN_012	ASCRP3006597	NALCN	-	335	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:101997616-102031004	chr13:101345265-101378653	hsa_circ_0030788	hsa-NALCN_000004,hsa-NALCN_0006	hsa_circNALCN_006	ASCRP3001161	NALCN	-	508	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:102521074-102527646	chr13:101868724-101875296	hsa_circ_0030793	hsa-FGF14_0001	hsa_circFGF14_009	ASCRP3009922	FGF14	-	215	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:111274562-111276626	chr13:110622215-110624279	hsa_circ_0030883	hsa-CARKD_000001,hsa-NAXD_0001	hsa_circCARKD_003	ASCRP3013565	CARKD,NAXD	+	197	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:111274562-111279894	chr13:110622215-110627547	hsa_circ_0030885	hsa-CARKD_000002,hsa-NAXD_0002	hsa_circCARKD_005	ASCRP3009765	CARKD,NAXD	+	395	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:111274562-111289596	chr13:110622215-110637249	hsa_circ_0030887	hsa-NAXD_0010	hsa_circCARKD_007	ASCRP3006267	CARKD,NAXD	+	793	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:111315797-111357918	chr13:110663450-110705571	hsa_circ_0099890	hsa-CARS2_000002,hsa-CARS2_0002	hsa_circCARS2_004	ASCRP3001222	CARS2	-	763	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:111857635-111896641	chr13:111205288-111244294	hsa_circ_0002680	hsa-ARHGEF7_000046,hsa-ARHGEF7_0001	hsa_circARHGEF7_008	ASCRP3003154	ARHGEF7	+	698	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:113158345-113181798	chr13:112504031-112527484	hsa_circ_0007031	hsa-TUBGCP3_000003,hsa-TUBGCP3_0012	hsa_circTUBGCP3_023	ASCRP3012307	TUBGCP3	-	972	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:113170753-113181798	chr13:112516439-112527484	hsa_circ_0000504	hsa-TUBGCP3_000001,hsa-TUBGCP3_0001	hsa_circTUBGCP3_022	ASCRP3012034	TUBGCP3	-	751	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:113170753-113200179	chr13:112516439-112545865	hsa_circ_0030937	hsa-TUBGCP3_0031	hsa_circTUBGCP3_020	ASCRP3004545	TUBGCP3	-	918	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:113845185-113854830	chr13:113190871-113200516	hsa_circ_0000506	hsa-PCID2_000002,hsa-PCID2_0001	hsa_circPCID2_003	ASCRP3000212	PCID2	-	431	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:113963957-113964177	chr13:113309642-113309862	hsa_circ_0030998	hsa-LAMP1_0005	hsa_circLAMP1_010	ASCRP3013337	LAMP1	+	220	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:113999177-114018225	chr13:113344862-113363910	hsa_circ_0031007	hsa-GRTP1_0002	hsa_circGRTP1_002	ASCRP3007537	GRTP1	-	530	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:114149816-114164739	chr13:113495501-113510424	hsa_circ_0002807	hsa-TMCO3_0001	hsa_circTMCO3_006	ASCRP3004404	TMCO3	+	1305	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:114149816-114175048	chr13:113495501-113520733	hsa_circ_0031017	hsa-TMCO3_000007,hsa-TMCO3_0009	hsa_circTMCO3_007	ASCRP3004461	TMCO3	+	1423	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:114157810-114175048	chr13:113503495-113520733	hsa_circ_0007760	hsa-TMCO3_0010	hsa_circTMCO3_020	ASCRP3009038	TMCO3	+	398	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:114164552-114175048	chr13:113510237-113520733	hsa_circ_0008539	hsa-TMCO3_000004,hsa-TMCO3_0006	hsa_circTMCO3_023	ASCRP3008985	TMCO3	+	305	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:114164552-114193822	chr13:113510237-113539507	hsa_circ_0031027	hsa-TMCO3_000006,hsa-TMCO3_0008	hsa_circTMCO3_025	ASCRP3009102	TMCO3	+	652	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:114174930-114188555	chr13:113520615-113534240	hsa_circ_0005161	hsa-TMCO3_000003,hsa-TMCO3_0005	hsa_circTMCO3_029	ASCRP3011708	TMCO3	+	314	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:114188359-114193822	chr13:113534044-113539507	hsa_circ_0007404	hsa-TMCO3_000005,hsa-TMCO3_0007	hsa_circTMCO3_032	ASCRP3009101	TMCO3	+	347	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:114265310-114277601	chr13:113610995-113623286	hsa_circ_0031038	hsa-TFDP1_0002	hsa_circTFDP1_004	ASCRP3003394	TFDP1	+	174	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:114806475-114839312	chr13:114040999-114073837	hsa_circ_0004096	hsa-RASA3_000001,hsa-RASA3_0001	hsa_circRASA3_004	ASCRP3006577	RASA3	-	317	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:114817526-114822949	chr13:114052051-114057474	hsa_circ_0007514	hsa-RASA3_000008,hsa-RASA3_0011	hsa_circRASA3_009	ASCRP3003234	RASA3	-	5423	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:115016023-115022705	chr13:114250548-114257230	hsa_circ_0099951	hsa-CDC16_000014,hsa-CDC16_0016	hsa_circCDC16_018	ASCRP3004892	CDC16	+	279	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:20304378-20356931	chr13:19730238-19782791	hsa_circ_0029614	hsa-PSPC1_000025,hsa-PSPC1_0020	hsa_circPSPC1_009	ASCRP3000156	PSPC1	-	1192	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:20315704-20333558	chr13:19741564-19759418	hsa_circ_0099962	hsa-PSPC1_000028,hsa-PSPC1_0002	hsa_circPSPC1_015	ASCRP3000540	PSPC1	-	378	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:20315704-20356931	chr13:19741564-19782791	hsa_circ_0000464	hsa-PSPC1_000026,hsa-PSPC1_0021	hsa_circPSPC1_008	ASCRP3000541	PSPC1	-	1086	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:20425494-20426330	chr13:19851354-19852190	hsa_circ_0002673	hsa-ZMYM5_000001,hsa-ZMYM5_0002	hsa_circZMYM5_001	ASCRP3011266	ZMYM5	-	596	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:20625572-20641530	chr13:20051432-20067390	hsa_circ_0029633	hsa-ZMYM2_000112,hsa-ZMYM2_0022	hsa_circZMYM2_031	ASCRP3002873	ZMYM2	+	1161	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:20632714-20633702	chr13:20058574-20059562	hsa_circ_0029634	hsa-ZMYM2_000036,hsa-ZMYM2_0046	hsa_circZMYM2_032	ASCRP3003885	ZMYM2	+	246	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:20632714-20641530	chr13:20058574-20067390	hsa_circ_0029636	hsa-ZMYM2_000001,hsa-ZMYM2_0023	hsa_circZMYM2_035	ASCRP3001778	ZMYM2	+	960	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:20635192-20657172	chr13:20061052-20083032	hsa_circ_0100002	hsa-ZMYM2_0052	hsa_circZMYM2_042	ASCRP3013038	ZMYM2	+	1081	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:21006240-21013893	chr13:20432101-20439754	hsa_circ_0029642	hsa-CRYL1_000002,hsa-CRYL1_0011	hsa_circCRYL1_004	ASCRP3005474	CRYL1	-	357	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:21148518-21166543	chr13:20574379-20592404	hsa_circ_0100013	hsa-IFT88_000005,hsa-IFT88_0067	hsa_circIFT88_004	ASCRP3004946	IFT88	+	404	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:21364600-21396428	chr13:20790461-20822289	hsa_circ_0029665	hsa-XPO4_000028,hsa-XPO4_0023	hsa_circXPO4_032	ASCRP3011630	XPO4	-	2076	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:21557362-21557945	chr13:20983223-20983806	hsa_circ_0007590	hsa-LATS2_000003,hsa-LATS2_0002	hsa_circLATS2_006	ASCRP3009822	LATS2	-	583	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:21735928-21746820	chr13:21161789-21172681	hsa_circ_0029696	hsa-SKA3_000005,hsa-SKA3_0007	hsa_circSKA3_002	ASCRP3005166	SKA3	-	726	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:21742126-21742538	chr13:21167987-21168399	hsa_circ_0000467	hsa-SKA3_000001,hsa-SKA3_0001	hsa_circSKA3_005	ASCRP3003034	SKA3	-	412	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:21875557-21875757	chr13:21301418-21301618	hsa_circ_0100053	hsa-MIPEPP3_000001,hsa-MIPEPP3_0001	hsa_circTCONS_l2_00006718_001	ASCRP3002844	MIPEPP3	+	200	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:24164288-24190184	chr13:23590149-23616045	hsa_circ_0004196	hsa-TNFRSF19_000002,hsa-TNFRSF19_0002	hsa_circTNFRSF19_002	ASCRP3002894	TNFRSF19	+	393	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:24164288-24200931	chr13:23590149-23626792	hsa_circ_0008784	hsa-TNFRSF19_000001,hsa-TNFRSF19_0001	hsa_circTNFRSF19_003	ASCRP3012331	TNFRSF19	+	479	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:24796956-24798720	chr13:24222818-24224582	hsa_circ_0004865	hsa-RP11-307N16_000002,hsa-SPATA13_0007	hsa_circSPATA13_003	ASCRP3010124	SPATA13	+	1764	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:24823614-24826000	chr13:24249476-24251862	hsa_circ_0003040	hsa-SPATA13_000002,hsa-SPATA13_0006	hsa_circSPATA13_005	ASCRP3008626	SPATA13	+	511	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:25049609-25052414	chr13:24475471-24478276	hsa_circ_0029762	hsa-PARP4_000007,hsa-PARP4_0004	hsa_circPARP4_031	ASCRP3001181	PARP4	-	466	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:25072253-25077915	chr13:24498115-24503777	hsa_circ_0005198	hsa-PARP4_0010	hsa_circPARP4_004	ASCRP3006695	PARP4	-	592	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:26343183-26349097	chr13:25769045-25774959	hsa_circ_0100141	hsa-ATP8A2_000016,hsa-ATP8A2_0003	hsa_circATP8A2_032	ASCRP3002709	ATP8A2	+	295	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:26911703-26928017	chr13:26337566-26353880	hsa_circ_0029803	hsa-CDK8_000028,hsa-CDK8_0001	hsa_circCDK8_002	ASCRP3011190	CDK8	+	328	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:26974589-26975761	chr13:26400452-26401624	hsa_circ_0003489	hsa-CDK8_000001,hsa-CDK8_0004	hsa_circCDK8_008	ASCRP3008027	CDK8	+	336	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:28141776-28155940	chr13:27567639-27581803	hsa_circ_0000468	hsa-LNX2_000002,hsa-LNX2_0002	hsa_circLNX2_004	ASCRP3009679	LNX2	-	955	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr13:28748408-28752072	chr13:28174271-28177935	hsa_circ_0004372	hsa-PAN3_000102,hsa-PAN3_0025	hsa_circPAN3_006	ASCRP3002846	PAN3	+	260	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
