circRNA_DB	hg19	hg38	gene_symbol	genomic_length	transcript_id	spliced_length	exon_number	exon_sizes	exon_offsets	samples	pubmed_id
hsa_circ_06115	chr22:29095825-29121355|-	chr22:28699837-28725367|-	CHEK2	25530	NM_001257387	803	8	100,62,54,109,91,114,148,125	0,3667,10168,12071,19557,21680,25139,25405	H9 hESCs	25242744
hsa_circ_06123	chr11:128993340-128994789|-	chr11:129123445-129124894|-	ARHGAP32	1449	NM_001142685	177	2	85,92	0,1357	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_06128	chr1:113143415-113153625|-	chr1:112600793-112611003|-	ST7L	10210	NM_138728	218	2	55,163	0,10047	cd_19	23446348
hsa_circ_06150	chr11:9225206-9229179|-	chr11:9203659-9207632|-	DENND5A	3973	NM_015213	840	3	658,110,72	0,3013,3901	H9 hESCs,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_06151	chr10:121685547-121693299|+	chr10:119926035-119933787|+	SEC23IP	7752	NR_037771	902	6	192,156,103,186,163,102	0,3571,4293,6097,6969,7650	normal brain tissue,oligodendroma	26873924
hsa_circ_06211	chr13:20625572-20641530|+	chr13:20051432-20067390|+	ZMYM2	15958	NM_003453	1161	9	166,35,130,116,172,126,95,169,152	0,844,7142,8014,9620,11413,13018,15418,15806	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_06237	chr21:42609439-42629253|+	chr21:41237512-41257326|+	BACE2	19814	NM_012105	902	6	217,129,135,102,150,169	0,4306,5863,8449,13239,19645	glioblastoma	26873924
hsa_circ_06242	chr17:27613009-27614734|-	chr17:29285991-29287716|-	NUFIP2	1725	NM_020772	1725	1	1725	0	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_06319	chr11:128963515-129034322|-	chr11:129093620-129164427|-	ARHGAP32	70807	NM_001142685	373	4	87,85,92,109	0,29825,31182,70698	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_06364	chr10:88211723-88233730|-	chr10:86451966-86473973|-	WAPAL	22007	NM_015045	1470	11	165,116,176,77,98,112,228,112,137,153,96	0,1253,1689,7022,8432,9209,15312,19025,20241,20645,21911	normal brain tissue,oligodendroma,leukemia	26873924,22319583
hsa_circ_06419	chr22:46085591-46098727|+	chr22:45689711-45702847|+	ATXN10	13136	NM_013236	531	4	192,83,97,159	0,3284,10570,12977	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_06519	chr12:57036241-57037742|-	chr12:56642457-56643958|-	ATP5B	1501	NM_001686	589	4	123,159,185,122	0,215,945,1379	normal brain tissue	26873924
hsa_circ_06547	chr21:30693541-30702014|+	chr21:29321220-29329693|+	BACH1	8473	NM_001186	1836	3	294,1335,207	0,4838,8266	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293	25242744,26873924,23446348
hsa_circ_06804	chr5:21491429-21497305|+	chr5:21491320-21497196|+	GUSBP1	5876	NR_027028	448	3	188,85,175	0,3777,5701	H9 hESCs	25242744
hsa_circ_06885	chr1:151630710-151641111|+	chr1:151658234-151668635|+	SNX27	10401	NM_030918	606	5	193,65,105,79,164	0,2563,3931,7698,10237	glioblastoma,Hs68,leukemia	26873924,23249747,22319583
hsa_circ_06894	chr2:240929490-240946787|-	chr2:239990073-240007370|-	NDUFA10	17297	NM_004544	250	3	109,86,55	0,15136,17242	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_06931	chr2:15564438-15651474|-	chr2:15424314-15511350|-	NBAS	87036	NM_015909	1831	14	154,84,137,105,79,141,152,126,258,194,64,129,69,139	0,3396,36886,37372,43014,43349,44067,48907,49752,51372,53911,64579,79830,86897	glioblastoma	26873924
hsa_circ_06997	chr5:64466443-64492978|-	chr5:65170616-65197151|-	ADAMTS6	26535	NM_197941	669	4	157,177,205,130	0,2215,17399,26405	normal brain tissue,glioblastoma,oligodendroma,Hs68	26873924,23249747
hsa_circ_07031	chr13:33109905-33111164|-	chr13:32535768-32537027|-	N4BP2L2	1259	NM_014887	1259	1	1259	0	glioblastoma	26873924
hsa_circ_07053	chr11:73789159-73789762|-	chr11:74078114-74078717|-	C2CD3	603	NM_015531	603	1	603	0	normal brain tissue,glioblastoma,Hs68	26873924,23249747
hsa_circ_07163	chr1:32653554-32655850|+	chr1:32187953-32190249|+	TXLNA	2296	NM_175852	366	2	171,195	0,2101	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_07179	chr18:45394693-45423180|-	chr18:47868322-47896809|-	SMAD2	28487	NM_001003652	708	4	135,194,90,289	0,920,2152,28198	H9 hESCs	25242744
hsa_circ_07190	chr2:54122143-54128696|-	chr2:53895006-53901559|-	PSME4	6553	NM_014614	837	7	70,154,82,130,54,137,210	0,576,1797,2863,3294,4874,6343	Hs68	23249747
hsa_circ_07278	chr14:104245081-104263855|-	chr14:103778744-103797518|-	PPP1R13B	18774	NM_015316	345	3	77,120,148	0,6050,18626	H9 hESCs,normal brain tissue,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_07352	chr21:47722398-47738134|-	chr21:46302484-46318220|-	C21orf58	15736	NM_058180	713	6	92,112,165,74,61,209	0,8971,12231,12989,14723,15527	Hs68	23249747
hsa_circ_07353	chr3:11399891-11468400|+	chr3:11358417-11426926|+	ATG7	68509	NM_006395	795	6	195,204,116,76,81,123	0,2163,4395,6241,21554,68386	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_07413	chr10:70227879-70229920|-	chr10:68468122-68470163|-	DNA2	2041	NM_001080449	367	2	184,183	0,1858	H9 hESCs,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_07536	chr4:178274461-178274882|+	chr4:177353307-177353728|+	NEIL3	421	NM_018248	421	1	421	0	H9 hESCs,glioblastoma,cd_19,neutr,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_07590	chr4:25334804-25335610|+	chr4:25333182-25333988|+	ZCCHC4	806	NM_024936	357	2	276,81	0,725	H9 hESCs,normal brain tissue,glioblastoma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_07816	chr1:58971731-59002413|-	chr1:58506059-58536741|-	OMA1	30682	NM_145243	865	6	150,75,129,108,174,229	0,21201,24541,27893,28098,30453	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_07817	chr16:46708225-46711310|-	chr16:46674313-46677398|-	VPS35	3085	NM_018206	440	4	149,97,110,84	0,250,2269,3001	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_07941	chr3:52771601-52775515|-	chr3:52737585-52741499|-	NEK4	3914	NM_001193533	429	3	134,206,89	0,1843,3825	H9 hESCs,normal brain tissue,glioblastoma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_07991	chr2:62100136-62110683|-	chr2:61873001-61883548|-	CCT4	10547	NM_006430	945	8	111,97,140,133,122,143,109,90	0,195,3093,3918,4391,5867,7284,10457	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_08147	chr10:99196947-99197507|-	chr10:97437190-97437750|-	EXOSC1	560	NM_016046	136	2	85,51	0,509	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_08182	chr15:93540186-93545547|+	chr15:92996956-93002317|+	CHD2	5361	NM_001271	683	5	139,151,123,129,141	0,296,1542,3555,5220	normal brain tissue,leukemia	26873924,22319583
hsa_circ_08189	chr2:29344239-29358532|+	chr2:29121373-29135666|+	CLIP4	14293	NM_024692	663	5	148,140,94,162,119	0,9884,10778,12281,14174	glioblastoma	26873924
hsa_circ_08210	chr10:128768965-128810638|+	chr10:126970701-127012374|+	DOCK1	41673	NM_001380	1092	11	84,41,56,97,149,136,158,82,136,73,80	0,7246,11216,16819,19753,26046,27390,28652,29470,38030,41593	normal brain tissue,glioblastoma	26873924
hsa_circ_08254	chr2:172782046-172841247|+	chr2:171925536-171976308|+	HAT1	59201	NM_003642	968	8	105,76,121,180,122,105,107,152	0,21181,27352,39812,40261,40883,41317,59049	normal brain tissue,oligodendroma	26873924
hsa_circ_08278	chr1:8555122-8674745|-	chr1:8495062-8614686|-	RERE	119623	NM_001042681	708	7	100,125,49,105,97,106,126	0,2342,13563,46150,61411,62354,119497	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_08441	chr17:35310185-35311207|+	chr17:36952885-36953907|+	AATF	1022	NM_012138	549	2	411,138	0,884	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_08528	chr20:47567859-47569421|+	chr20:48951322-48952884|+	ARFGEF2	1562	NM_006420	327	2	147,180	0,1382	normal brain tissue,oligodendroma	26873924
hsa_circ_08695	chr3:119582265-119624699|-	chr3:119863418-119905852|-	GSK3B	42434	NM_002093	420	4	187,39,96,98	0,3171,12994,42336	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_08702	chr14:99924615-99932150|-	chr14:99458278-99465813|-	SETD3	7535	NM_032233	683	5	257,73,149,93,111	0,834,2913,5207,7424	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,cd_34,Hs68	25242744,26873924,23446348,23249747
hsa_circ_08764	chr4:2951660-2955372|-	chr4:2949933-2953645|-	NOP14	3712	NM_003703	670	4	280,132,123,135	0,1180,2341,3577	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_08865	chr16:72991325-72994093|-	chr16:72957426-72960194|-	ZFHX3	2768	NM_006885	2768	1	2768	0	H9 hESCs,Hs68	25242744,23249747
hsa_circ_08912	chr19:38597176-38610522|+	chr19:38106536-38119882|+	SIPA1L3	13346	NM_015073	839	3	104,158,577	0,3690,12769	normal brain tissue	26873924
hsa_circ_08918	chr7:82763565-82764972|-	chr7:83134249-83135656|-	PCLO	1407	NM_014510	1407	1	1407	0	normal brain tissue	26873924
hsa_circ_09021	chr1:27087346-27089776|+	chr1:26760855-26763285|+	ARID1A	2430	NM_139135	812	4	241,90,168,313	0,528,1296,2117	H9 hESCs,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_09034	chr18:29218606-29246335|-	chr18:31638643-31666372|-	B4GALT6	27729	NM_004775	473	4	117,125,114,117	0,6711,19332,27612	H9 hESCs	25242744
hsa_circ_09069	chr4:52729602-52744020|+	chr4:51863436-51877854|+	DCUN1D4	14418	NM_015115	318	4	71,40,115,92	0,233,10834,14326	H9 hESCs,normal brain tissue,glioblastoma,HEK293,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_09248	chr13:100861585-100925600|+	chr13:100209331-100273346|+	PCCA	64015	NM_001127692	597	6	132,37,79,103,95,151	0,26510,48263,53397,59357,63864	normal brain tissue,oligodendroma	26873924
hsa_circ_09321	chr20:60714130-60716000|-	chr20:62139074-62140944|-	PSMA7	1870	NM_002792	375	3	123,125,127	0,706,1743	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_09413	chr12:110922882-110925748|+	chr12:110485077-110487943|+	FAM216A	2866	NM_013300	519	4	122,130,184,83	0,1247,1456,2783	normal brain tissue,glioblastoma,Hs68,leukemia	26873924,23249747,22319583
hsa_circ_09558	chr7:97820039-97823884|+	chr7:98190727-98194572|+	LMTK2	3845	NM_014916	3109	2	150,2959	0,886	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_34,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_09631	chr3:197592293-197602646|+	chr3:197865422-197875775|+	LRCH3	10353	uc011bul.1	492	5	49,108,119,138,78	0,689,4737,5902,10275	H9 hESCs	25242744
hsa_circ_09642	chr8:131164981-131193126|-	chr8:130152735-130180880|-	ASAP1	28145	NM_018482	550	6	70,101,87,76,86,130	0,7128,14800,16256,26528,28015	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_09659	chr17:3969740-3976050|-	chr17:4066446-4072756|-	ZZEF1	6310	NM_015113	564	4	94,80,241,149	0,716,4237,6161	normal brain tissue,glioblastoma,Hs68	26873924,23249747
hsa_circ_09697	chr6:76331247-76344527|+	chr6:75621531-75634811|+	SENP6	13280	NM_001100409	406	4	94,61,146,105	0,2368,12049,13175	H9 hESCs	25242744
hsa_circ_09706	chr7:105099614-105135700|-	chr7:105459167-105495253|-	PUS7	36086	NM_019042	1119	10	92,130,102,127,161,62,126,129,78,112	0,3453,6145,9169,11520,12964,21884,23144,32372,35974	normal brain tissue	26873924
hsa_circ_09726	chr2:20507738-20518406|-	chr2:20307977-20318645|-	PUM2	10668	NM_015317	832	5	94,271,170,188,109	0,336,3516,4258,10559	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_09755	chrX:153996576-153997585|+	chrX:154768301-154769310|+	DKC1	1009	NM_001363	275	2	131,144	0,865	H9 hESCs,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_09965	chr17:1257504-1265302|-	chr17:1354210-1362008|-	YWHAE	7798	NR_024058	451	3	137,207,107	0,6881,7691	H9 hESCs,Hs68	25242744,23249747
hsa_circ_10066	chr8:141710989-141716304|-	chr8:140700890-140706205|-	PTK2	5315	NM_001199649	357	3	132,138,87	0,1679,5228	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_10091	chr11:85722072-85742653|-	chr11:86011029-86031611|-	PICALM	20581	NM_007166	635	6	107,112,94,103,76,143	0,1251,3840,11337,15261,20438	normal brain tissue,glioblastoma,oligodendroma,cd_19,neutr,leukocyte	26873924,23446348,22319583
hsa_circ_10102	chr7:126746549-126883569|-	chr7:127106495-127243515|-	GRM8	137020	NM_000845	1038	2	217,821	0,136199	H9 hESCs	25242744
hsa_circ_10118	chr1:11130956-11137005|-	chr1:11070899-11076948|-	EXOSC10	6049	NM_001001998	437	5	74,85,75,96,107	0,1187,3034,3331,5942	H9 hESCs,normal brain tissue,glioblastoma	25242744,26873924
hsa_circ_10136	chr13:37614541-37625720|-	chr13:37040404-37051583|-	SUPT20H	11179	NM_017569	663	8	54,117,104,130,67,59,36,96	0,171,3673,4842,7130,7473,8159,11083	H9 hESCs,glioblastoma,oligodendroma,cd_19	25242744,26873924,23446348
hsa_circ_10311	chr10:34558584-34573173|-	chr10:34269656-34284245|-	PARD3	14589	NM_001184785	354	2	243,111	0,14478	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_10340	chr3:27424643-27493989|-	chr3:27383152-27452498|-	SLC4A7	69346	NM_003615	3530	23	98,132,174,69,252,162,114,162,106,246,134,175,107,147,88,158,116,372,189,161,139,147,82	0,2739,6778,8587,11365,11801,14531,15039,17611,19986,21677,26203,28489,35333,37547,38469,40884,48145,50763,53235,54235,65498,69264	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_10388	chr15:76566752-76588078|-	chr15:76274411-76295737|-	ETFA	21326	NM_000126	777	8	83,69,102,111,100,83,82,147	0,9345,11225,11959,13434,18019,18207,21179	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_10424	chr1:94360169-94367225|-	chr1:93894613-93901669|-	GCLM	7056	NM_002061	463	4	115,203,60,85	0,2004,3225,6971	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_10491	chr20:30954186-30956926|+	chr20:32366383-32369123|+	ASXL1	2740	NM_015338	195	2	83,112	0,2628	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_10539	chr12:111990083-111993723|-	chr12:111552279-111555919|-	ATXN2	3640	NM_002973	320	4	151,72,60,37	0,626,1878,3603	normal brain tissue,glioblastoma,oligodendroma,Hs68	26873924,23249747
hsa_circ_10555	chr13:96485180-96489456|-	chr13:95832926-95837202|-	UGGT2	4276	NM_020121	244	2	127,117	0,4159	H9 hESCs,Hs68	25242744,23249747
hsa_circ_10577	chr19:38631823-38633350|+	chr19:38141183-38142710|+	SIPA1L3	1527	NM_015073	390	2	252,138	0,1389	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_10590	chr11:44129232-44135851|+	chr11:44107682-44114301|+	EXT2	6619	NM_207122	773	3	566,90,117	0,1511,6502	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_10618	chr2:206992520-206994966|-	chr2:206127796-206130242|-	NDUFS1	2446	NM_001199982	331	2	176,155	0,2291	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_10821	chr5:65054393-65054653|+	chr5:65758566-65758826|+	NLN	260	NM_020726	260	1	260	0	H9 hESCs,oligodendroma	25242744,26873924
hsa_circ_10936	chr9:96233422-96238620|+	chr9:93471140-93476338|+	FAM120A	5198	NM_014612	330	2	247,83	0,5115	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_10943	chr3:196807921-196846401|-	chr3:197081050-197119530|-	DLG1	38480	NM_001204388	740	6	67,177,115,103,157,121	0,4529,9861,23852,34876,38359	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_10997	chr5:40764615-40777688|-	chr5:40764513-40777586|-	PRKAA1	13073	NM_206907	1353	8	127,487,225,88,145,45,94,142	0,238,2952,4902,7205,10414,10896,12931	H9 hESCs,normal brain tissue,oligodendroma,HEK293,neutr,leukocyte	25242744,26873924,23446348,22319583
hsa_circ_10998	chr10:69773782-69804320|-	chr10:68014025-68044563|-	HERC4	30538	NM_015601	843	6	161,131,92,222,77,160	0,11520,18752,19939,24067,30378	normal brain tissue,Hs68	26873924,23249747
hsa_circ_11088	chr3:27475406-27493989|-	chr3:27433915-27452498|-	SLC4A7	18583	NM_001258380	718	5	189,161,139,147,82	0,2472,3472,14735,18501	H9 hESCs	25242744
hsa_circ_11158	chr4:15613888-15646331|-	chr4:15612265-15644708|-	FBXL5	32443	NR_036464	2019	10	149,726,83,149,126,183,187,96,104,216	0,12986,14607,15619,18400,24228,26242,28522,29258,32227	H9 hESCs	25242744
hsa_circ_11229	chr17:5292121-5302970|-	chr17:5388801-5399650|-	NUP88	10849	NM_002532	451	4	159,102,91,99	0,2759,6089,10750	H9 hESCs	25242744
hsa_circ_11332	chr8:101936182-101937267|-	chr8:100923954-100925039|-	YWHAZ	1085	NM_145690	384	3	96,164,124	0,180,961	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_11493	chr6:136709530-136710655|-	chr6:136388392-136389517|-	MAP7	1125	NM_001198615	282	2	118,164	0,961	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_11514	chr3:10088263-10091189|+	chr3:10046579-10049505|+	FANCD2	2926	NM_001018115	411	3	144,135,132	0,1337,2794	H9 hESCs	25242744
hsa_circ_11632	chr1:101372407-101387397|+	chr1:100906851-100921841|+	SLC30A7	14990	NM_001144884	660	6	114,88,127,144,51,136	0,4211,5260,6811,11225,14854	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_11691	chr3:40502897-40503739|+	chr3:40461406-40462248|+	RPL14	842	NM_003973	464	3	100,54,310	0,201,532	Hs68	23249747
hsa_circ_11790	chr10:17199439-17210916|-	chr10:17157440-17168917|-	TRDMT1	11477	NM_004412	713	6	344,84,70,66,72,77	0,1705,2864,4042,4725,11400	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_11822	chr9:33948371-33956144|-	chr9:33948373-33956146|-	UBAP2	7773	NM_018449	472	3	214,190,68	0,4911,7705	H9 hESCs,normal brain tissue,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_11886	chr17:57842331-57851246|+	chr17:59764970-59773885|+	VMP1	8915	NM_030938	300	2	168,132	0,8783	H9 hESCs,normal brain tissue,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_11949	chr15:52161413-52194233|+	chr15:51869216-51902036|+	TMOD3	32820	NM_014547	898	7	157,123,90,131,108,144,145	0,18372,19839,24598,27202,30938,32675	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,leukemia	25242744,26873924,22319583
hsa_circ_11993	chr9:86292641-86297981|-	chr9:83677726-83683066|-	UBQLN1	5340	NM_053067	773	4	235,159,263,116	0,714,2048,5224	Hs68	23249747
hsa_circ_12079	chr13:95829960-95840796|-	chr13:95177706-95188542|-	ABCC4	10836	NM_001105515	464	4	87,95,192,90	0,290,8994,10746	Hs68	23249747
hsa_circ_12109	chr10:15858833-15889942|-	chr10:15816834-15847943|-	FAM188A	31109	NM_024948	788	9	81,71,80,74,115,52,174,61,80	0,4821,16795,17708,20369,21393,24591,26377,31029	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_12111	chr16:29845053-29847119|+	chr16:29833732-29835798|+	MVP	2066	NM_017458	351	3	124,132,95	0,202,1971	Hs68	23249747
hsa_circ_12137	chr20:60572605-60589763|-	chr20:61997549-62014707|-	TAF4	17158	NM_003185	1730	13	120,57,126,131,170,115,148,249,90,123,120,120,161	0,586,1433,2574,3002,5610,6181,8960,9997,11502,12496,15265,16997	normal brain tissue,oligodendroma	26873924
hsa_circ_12166	chr5:93964515-93966448|+	chr5:94628810-94630743|+	ANKRD32	1933	NM_032290	431	3	114,76,241	0,281,1692	normal brain tissue,glioblastoma,leukocyte	26873924,22319583
hsa_circ_12203	chr2:20454623-20455931|-	chr2:20254862-20256170|-	PUM2	1308	NM_015317	386	3	122,126,138	0,353,1170	normal brain tissue,glioblastoma,Hs68	26873924,23249747
hsa_circ_12210	chr6:151669845-151674887|+	chr6:151348710-151353752|+	AKAP12	5042	NM_144497	5042	1	5042	0	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_12237	chr2:169018296-169038600|-	chr2:168161786-168182090|-	STK39	20304	NM_013233	420	4	56,142,109,113	0,1952,5512,20191	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_12240	chr13:33091993-33101669|-	chr13:32517856-32527532|-	N4BP2L2	9676	NM_014887	438	4	147,77,89,125	0,3516,4325,9551	H9 hESCs,HEK293,cd_19,neutr,Hs68	25242744,23446348,23249747
hsa_circ_12282	chr14:92592465-92609638|+	chr14:92126121-92143294|+	CPSF2	17173	NM_017437	1233	8	59,183,160,106,130,116,188,291	0,4829,7889,8128,9245,12110,16042,16882	normal brain tissue,leukemia	26873924,22319583
hsa_circ_12305	chr1:78097534-78107340|-	chr1:77631849-77641655|-	ZZZ3	9806	NM_015534	1907	4	1556,154,63,134	0,7599,9534,9672	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_12441	chr3:155611306-155633981|+	chr3:155893517-155916192|+	GMPS	22675	NM_003875	1185	8	182,115,98,104,194,166,152,174	0,4409,10345,12642,17174,17596,20901,22501	H9 hESCs,normal brain tissue,leukemia	25242744,26873924,22319583
hsa_circ_12465	chr12:95602618-95605043|-	chr12:95208842-95211267|-	FGD6	2425	NM_018351	2425	1	2425	0	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_12471	chr12:14576842-14578407|+	chr12:14423908-14425473|+	ATF7IP	1565	NM_018179	1565	1	1565	0	normal brain tissue,glioblastoma	26873924
hsa_circ_12541	chr7:24663284-24690331|+	chr7:24623665-24650712|+	MPP6	27047	NM_016447	653	4	119,153,153,228	0,18050,25946,26819	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_34,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_12602	chr6:144808683-144814592|+	chr6:144487547-144493456|+	UTRN	5909	NM_007124	771	5	150,162,129,174,156	0,1125,2523,3381,5753	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_12612	chr7:131071878-131084192|+	chr7:131387119-131399433|+	MKLN1	12314	NM_001145354	535	4	143,89,110,193	0,1764,10147,12121	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_12635	chr14:102661274-102676199|+	chr14:102194937-102209862|+	WDR20	14925	NM_001242417	1536	3	183,93,1260	0,2817,13665	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_12733	chr1:113196219-113202401|+	chr1:112653597-112659779|+	CAPZA1	6182	NM_006135	430	4	64,207,80,79	0,867,5424,6103	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_12760	chr22:24698162-24709434|+	chr22:24302194-24313466|+	SPECC1L	11272	NM_001254732	344	2	190,154	0,11118	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_12821	chr12:7556130-7586290|-	chr12:7403534-7433694|-	CD163L1	30160	NM_174941	1284	4	321,321,321,321	0,2997,28881,29839	normal brain tissue,oligodendroma	26873924
hsa_circ_12856	chr2:110321942-110350696|-	chr2:109564365-109593119|-	SEPT10	28754	NM_144710	998	7	169,97,162,187,196,118,69	0,1397,3449,10215,20760,21355,28685	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_13009	chr19:52579296-52592255|-	chr19:52076043-52089002|-	ZNF841	12959	NM_001136499	414	4	129,127,92,66	0,914,8743,12893	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_13037	chr1:167935866-167944253|+	chr1:167966628-167975015|+	DCAF6	8387	NM_001198956	279	2	93,186	0,8201	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_13181	chr20:33057852-33080402|+	chr20:34470047-34492597|+	ITCH	22550	NM_001257137	992	9	73,72,89,160,134,141,121,105,97	0,1396,7724,9582,10551,11018,19218,19774,22453	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_13200	chr2:239090705-239103511|-	chr2:238182064-238194870|-	ILKAP	12806	NM_030768	781	8	122,88,94,107,127,120,57,66	0,1588,1955,3116,6066,7788,12210,12740	H9 hESCs,normal brain tissue	25242744,26873924
hsa_circ_13285	chr9:5968018-5988545|-	chr9:5968018-5988545|-	KIAA2026	20527	NM_001017969	1619	2	1418,201	0,20326	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_13343	chr12:27143382-27152609|-	chr12:26990449-26999676|-	TM7SF3	9227	NM_016551	622	4	178,172,121,151	0,4787,6292,9076	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
