circbase	hg19	hg38	chrom	chromStart	chromEnd	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStarts
hsa_circ_0000471	chr13:33091993-33101669|-	chr13:32517856-32527532|-	chr13	33091993	33101669	1000	-	33091993	33101669	0,0,255	4	147,77,89,75	0,3516,4325,9601
hsa_circ_0000475	chr13:37614541-37625720|-	chr13:37040404-37051583|-	chr13	37614541	37625720	1000	-	37614541	37625627	0,0,255	8	54,117,104,130,67,59,36,96	0,171,3673,4842,7130,7473,8159,11083
hsa_circ_0030069	chr13:41892941-41910892|+	chr13:41318805-41336756|+	chr13	41892941	41910892	1000	+	41892941	41910892	255,0,0	7	105,158,135,154,120,96,107	0,1861,4250,6892,9918,12468,17844
hsa_circ_0004711	chr13:42385360-42393522|-	chr13:41811224-41819386|-	chr13	42385360	42393522	1000	-	42385360	42393522	0,0,255	3	116,78,169	0,5473,7993
hsa_circ_0005263	chr13:49771012-49772710|+	chr13:49196876-49198574|+	chr13	49771012	49772710	1000	+	49771012	49772710	255,0,0	4	114,150,284,213	0,848,1105,1485
hsa_circ_0004878	chr13:60348322-60385057|-	chr13:59774188-59810923|-	chr13	60348322	60385057	1000	-	60348322	60385057	0,0,255	3	60,96,136	0,539,36599
hsa_circ_0000494	chr13:76134888-76143643|+	chr13:75560752-75569507|+	chr13	76134888	76143643	1000	+	76134888	76143643	255,0,0	4	129,157,86,48	0,5942,6474,8707
hsa_circ_0004217	chr13:77791974-77818086|-	chr13:77217839-77243951|-	chr13	77791974	77818086	1000	-	77791974	77818086	0,0,255	6	118,82,120,108,102,146	0,6611,7595,15316,25219,25966
hsa_circ_0008463	chr13:95686858-95715113|-	chr13:95034604-95062859|-	chr13	95686858	95715113	1000	-	95686858	95715113	0,0,255	5	135,106,173,90,156	0,9077,9661,18490,28099
hsa_circ_0030582	chr13:95768175-95840796|-	chr13:95115921-95188542|-	chr13	95768175	95840796	1000	-	95768175	95840796	0,0,255	11	80,147,95,38,141,210,97,87,95,192,90	0,45267,47200,47688,48456,50236,54610,61785,62075,70779,72531
hsa_circ_0006871	chr13:95829960-95840796|-	chr13:95177706-95188542|-	chr13	95829960	95840796	1000	-	95829960	95840796	0,0,255	4	87,95,192,90	0,290,8994,10746
hsa_circ_0008274	chr13:96485180-96489456|-	chr13:95832926-95837202|-	chr13	96485180	96489456	1000	-	96485180	96489456	0,0,255	2	127,117	0,4159
hsa_circ_0030763	chr13:100953713-100992513|+	chr13:100301459-100340259|+	chr13	100953713	100992513	1000	+	100953713	100992513	255,0,0	6	144,75,69,76,111,103	0,1464,5732,8373,29101,38697
hsa_circ_0030914	chr13:111857635-111885640|+	chr13:111205288-111233293|+	chr13	111857635	111885640	1000	+	111857635	111885640	255,0,0	4	85,131,202,89	0,4583,12390,27916
hsa_circ_0009141	chr13:111870025-111896641|+	chr13:111217678-111244294|+	chr13	111870025	111896641	1000	+	111870025	111896641	255,0,0	4	202,89,95,96	0,15526,26193,26520
hsa_circ_0031016	chr13:114149816-114157903|+	chr13:113495501-113503588|+	chr13	114149816	114157903	1000	+	114149896	114157903	255,0,0	5	524,180,192,129,93	0,2840,4456,6250,7994
hsa_circ_0031191	chr14:21870115-21871822|-	chr14:21401956-21403663|-	chr14	21870115	21871822	1000	-	21870115	21871822	0,0,255	4	180,168,196,211	0,379,1060,1496
hsa_circ_0000524	chr14:23378691-23380612|-	chr14:22909482-22911403|-	chr14	23378691	23380612	1000	-	23378691	23380602	0,0,255	2	113,76	0,1845
hsa_circ_0031482	chr14:31596990-31641328|-	chr14:31127784-31172122|-	chr14	31596990	31641328	1000	-	31596990	31641328	0,0,255	20	222,837,177,167,324,140,135,106,95,147,135,77,264,223,171,139,175,115,99,77	0,827,5453,5724,7087,7691,8746,12107,14073,16326,17022,20936,21112,22214,29055,29380,40513,41569,44076,44261
hsa_circ_0031584	chr14:32559707-32586493|+	chr14:32090501-32117287|+	chr14	32559707	32586493	1000	+	32559875	32586493	255,0,0	2	3885,148	0,26638
hsa_circ_0031749	chr14:39782543-39796226|+	chr14:39313339-39327022|+	chr14	39782543	39796226	1000	+	39782543	39796226	255,0,0	7	102,61,36,68,83,129,159	0,1399,2343,4604,5869,7588,13524
hsa_circ_0000532	chr14:45564423-45566208|+	chr14:45095220-45097005|+	chr14	45564423	45566208	1000	+	45564423	45566208	255,0,0	3	343,126,119	0,882,1666
hsa_circ_0031884	chr14:51374988-51387785|-	chr14:50908270-50921067|-	chr14	51374988	51387785	1000	-	51374988	51387785	0,0,255	14	67,135,208,142,59,148,102,115,164,147,93,144,83,112	0,550,1624,3459,3707,3885,4758,6430,7065,7554,8371,8691,12270,12685
hsa_circ_0032052	chr14:57740961-57747140|+	chr14:57274243-57280422|+	chr14	57740961	57747140	1000	+	57740961	57747140	255,0,0	2	646,228	0,5951
hsa_circ_0032261	chr14:67736417-67770316|+	chr14:67269700-67303599|+	chr14	67736417	67770316	1000	+	67745887	67770316	255,0,0	7	83,520,209,78,147,162,78	0,9317,22810,31688,32271,32709,33821
hsa_circ_0000545	chr14:68228082-68229536|-	chr14:67761365-67762819|-	chr14	68228082	68229536	1000	-	68228082	68229536	0,0,255	3	219,210,148	0,837,1306
hsa_circ_0002913	chr14:69356855-69360464|-	chr14:68890138-68893747|-	chr14	69356855	69360464	1000	-	69356855	69360464	0,0,255	3	148,231,93	0,1914,3516
hsa_circ_0001997	chr14:71511849-71524441|+	chr14:71045132-71057724|+	chr14	71511849	71524441	1000	+	71511849	71524441	255,0,0	7	151,142,178,109,130,59,216	0,1831,2674,5519,6750,10371,12376
hsa_circ_0008641	chr14:75016565-75022396|-	chr14:74549862-74555693|-	chr14	75016565	75022396	1000	-	75016565	75022396	0,0,255	5	103,287,207,171,191	0,1201,2324,3029,5640
hsa_circ_0007332	chr14:80963811-80997230|-	chr14:80497468-80530886|-	chr14	80963811	80997230	1000	-	80963821	80997230	0,0,255	4	114,109,114,78	0,7443,29401,33341
hsa_circ_0003164	chr14:89041036-89044484|+	chr14:88574692-88578140|+	chr14	89041036	89044484	1000	+	89041036	89044484	255,0,0	3	161,101,156	0,1147,3292
hsa_circ_0000567	chr14:99924615-99932150|-	chr14:99458278-99465813|-	chr14	99924615	99932150	1000	-	99924615	99932142	0,0,255	5	257,73,149,93,111	0,834,2913,5207,7424
hsa_circ_0003265	chr14:101403739-101415933|+	chr14:100937402-100949596|+	chr14	101403739	101415933	1000	+	101415933	101415933	255,0,0	1	12194	0
hsa_circ_0002553	chr14:102661274-102676199|+	chr14:102194937-102209862|+	chr14	102661274	102676199	1000	+	102661274	102676199	255,0,0	2	183,1260	0,13665
hsa_circ_0005791	chr14:104245081-104263855|-	chr14:103778744-103797518|-	chr14	104245081	104263855	1000	-	104245081	104263855	0,0,255	3	77,120,148	0,6050,18626
hsa_circ_0034296	chr15:30058468-30092905|-	chr15:29766265-29800702|-	chr15	30058468	30092905	1000	-	30058468	30092905	0,0,255	4	277,103,125,57	0,5798,6967,34380
hsa_circ_0008346	chr15:41648236-41669502|+	chr15:41356038-41377304|+	chr15	41648236	41669502	1000	+	41648236	41669502	255,0,0	6	102,110,188,158,117,109	0,2110,9363,15488,19673,21157
hsa_circ_0035269	chr15:51240216-51250991|+	chr15:50948019-50958794|+	chr15	51240216	51250991	1000	+	51240216	51250991	255,0,0	4	140,113,119,303	0,1806,2031,10472
hsa_circ_0035292	chr15:52161413-52194233|+	chr15:51869216-51902036|+	chr15	52161413	52194233	1000	+	52161413	52194233	255,0,0	7	157,123,90,131,108,144,145	0,18372,19839,24598,27202,30938,32675
hsa_circ_0008153	chr15:63845913-63855207|+	chr15:63553714-63563008|+	chr15	63845913	63855207	1000	+	63845913	63855207	255,0,0	5	84,82,83,114,114	0,2952,4391,6142,9180
hsa_circ_0035761	chr15:63966540-63981898|-	chr15:63674341-63689699|-	chr15	63966540	63981898	1000	-	63966540	63981898	0,0,255	6	776,521,84,240,177,111	0,3503,5735,6195,12017,15247
hsa_circ_0000620	chr15:67524151-67529158|-	chr15:67231813-67236820|-	chr15	67524151	67529158	1000	-	67524151	67529158	0,0,255	4	84,90,97,191	0,4165,4594,4816
hsa_circ_0006314	chr15:72810407-72837305|+	chr15:72518066-72544964|+	chr15	72810407	72837305	1000	+	72810407	72837305	255,0,0	2	68,145	0,26753
hsa_circ_0000633	chr15:74963795-74967483|-	chr15:74671454-74675142|-	chr15	74963795	74967483	1000	-	74963795	74967465	0,0,255	2	320,182	0,3506
hsa_circ_0036348	chr15:75699395-75705386|-	chr15:75407054-75413045|-	chr15	75699395	75705386	1000	-	75699395	75705386	0,0,255	5	90,156,153,252,283	0,2781,3079,4437,5708
hsa_circ_0036353	chr15:75703832-75705386|-	chr15:75411491-75413045|-	chr15	75703832	75705386	1000	-	75703832	75705386	0,0,255	2	252,283	0,1271
hsa_circ_0036354	chr15:75706545-75715164|-	chr15:75414204-75422823|-	chr15	75706545	75715164	1000	-	75706545	75715164	0,0,255	2	107,177	0,8442
hsa_circ_0000638	chr15:76566752-76588078|-	chr15:76274411-76295737|-	chr15	76566752	76588078	1000	-	76566752	76588078	0,0,255	8	83,69,102,111,100,83,82,147	0,9345,11225,11959,13434,18019,18207,21179
hsa_circ_0003620	chr15:76584771-76588078|-	chr15:76292430-76295737|-	chr15	76584771	76588078	1000	-	76584771	76588078	0,0,255	3	83,82,147	0,188,3160
hsa_circ_0036423	chr15:77471131-77474382|-	chr15:77178789-77182040|-	chr15	77471131	77474382	1000	-	77471131	77474268	0,0,255	1	3251	0
hsa_circ_0000643	chr15:80412669-80415142|+	chr15:80120327-80122800|+	chr15	80412669	80415142	1000	+	80412669	80415142	255,0,0	3	171,109,101	0,1384,2372
hsa_circ_0036997	chr15:93540186-93545547|+	chr15:92996956-93002317|+	chr15	93540186	93545547	1000	+	93540186	93545547	255,0,0	5	139,151,123,129,141	0,296,1542,3555,5220
hsa_circ_0037002	chr15:93543741-93558139|+	chr15:93000511-93014909|+	chr15	93543741	93558139	1000	+	93543741	93558139	255,0,0	6	129,141,135,179,100,214	0,1665,4105,8633,11833,14184
hsa_circ_0037563	chr16:2807472-2810500|+	chr16:2757471-2760499|+	chr16	2807472	2810500	1000	+	2807472	2810500	255,0,0	8	108,165,78,63,33,51,93,199	0,309,998,1513,1668,1880,2097,2829
hsa_circ_0007637	chr16:3900297-3901010|-	chr16:3850296-3851009|-	chr16	3900297	3901010	1000	-	3900297	3901010	0,0,255	1	713	0
hsa_circ_0038258	chr16:18846213-18856973|-	chr16:18834891-18845651|-	chr16	18846213	18856973	1000	-	18846213	18856973	0,0,255	11	273,280,173,191,219,110,139,249,230,247,223	0,1041,1468,2361,3122,3465,3659,4806,6673,7316,10537
hsa_circ_0005690	chr16:21973780-21987564|+	chr16:21962459-21976243|+	chr16	21973780	21987564	1000	+	21973780	21987564	255,0,0	8	57,125,98,58,96,200,81,77	0,301,2948,6168,9065,9463,11436,13707
hsa_circ_0005375	chr16:28743149-28743513|+	chr16:28731828-28732192|+	chr16	28743149	28743513	1000	+	28743149	28743513	255,0,0	1	364	0
hsa_circ_0003864	chr16:29845053-29847119|+	chr16:29833732-29835798|+	chr16	29845053	29847119	1000	+	29845053	29847119	255,0,0	3	124,132,95	0,202,1971
hsa_circ_0002500	chr16:46708225-46711310|-	chr16:46674313-46677398|-	chr16	46708225	46711310	1000	-	46708225	46711310	0,0,255	4	149,97,110,84	0,250,2269,3001
hsa_circ_0002820	chr16:47531309-47644831|+	chr16:47497398-47610920|+	chr16	47531309	47644831	1000	+	47531309	47644831	255,0,0	13	90,139,100,108,81,116,64,96,198,58,78,159,95	0,2357,5592,14266,18122,50034,82896,90269,91506,96101,96738,98974,113427
hsa_circ_0008558	chr16:48311248-48337216|+	chr16:48277337-48303305|+	chr16	48311248	48337216	1000	+	48311248	48337216	255,0,0	4	142,151,127,134	0,18677,22324,25834
hsa_circ_0004120	chr16:56419830-56448256|-	chr16:56385918-56414344|-	chr16	56419830	56448256	1000	-	56419830	56448256	0,0,255	9	104,191,111,134,133,41,153,165,93	0,3266,15814,17066,18990,19285,22045,23505,28333
hsa_circ_0006886	chr16:57197912-57207781|-	chr16:57164000-57173869|-	chr16	57197912	57207781	1000	-	57197912	57207766	0,0,255	5	65,134,122,99,142	0,3092,8250,8775,9727
hsa_circ_0039834	chr16:67478430-67487618|-	chr16:67444527-67453715|-	chr16	67478430	67487618	1000	-	67478430	67487618	0,0,255	2	179,172	0,9016
hsa_circ_0005615	chr16:68155889-68157024|+	chr16:68121986-68123121|+	chr16	68155889	68157024	1000	+	68155889	68157024	255,0,0	1	1135	0
hsa_circ_0039943	chr16:68300495-68300624|+	chr16:68266592-68266721|+	chr16	68300495	68300624	1000	+	68300624	68300624	255,0,0	1	129	0
hsa_circ_0007018	chr16:69189773-69201088|+	chr16:69155870-69167185|+	chr16	69189773	69201088	1000	+	69189773	69201088	255,0,0	6	123,157,107,96,186,111	0,1213,4485,7212,9470,11204
hsa_circ_0007963	chr16:72991325-72994093|-	chr16:72957426-72960194|-	chr16	72991325	72994093	1000	-	72991325	72994044	0,0,255	1	2768	0
hsa_circ_0000724	chr16:87782278-87795646|-	chr16:87748672-87762040|-	chr16	87782278	87795646	1000	-	87782278	87795646	0,0,255	4	137,99,79,92	0,6521,7726,13276
hsa_circ_0004566	chr16:89484691-89488713|-	chr16:89418283-89422305|-	chr16	89484691	89488713	1000	-	89488713	89488713	0,0,255	1	4022	0
hsa_circ_0006105	chr17:1257504-1265302|-	chr17:1354210-1362008|-	chr17	1257504	1265302	1000	-	1265302	1265302	0,0,255	3	137,207,107	0,6881,7691
hsa_circ_0004767	chr17:3969740-3976050|-	chr17:4066446-4072756|-	chr17	3969740	3976050	1000	-	3969740	3976050	0,0,255	4	94,80,241,149	0,716,4237,6161
hsa_circ_0003239	chr17:4186092-4200109|-	chr17:4282797-4296814|-	chr17	4186092	4200109	1000	-	4186129	4200109	0,0,255	3	124,179,98	0,6432,13919
hsa_circ_0041694	chr17:5292121-5302970|-	chr17:5388801-5399650|-	chr17	5292121	5302970	1000	-	5292121	5302970	0,0,255	4	159,102,91,99	0,2759,6089,10750
hsa_circ_0000740	chr17:5364258-5365866|-	chr17:5460938-5462546|-	chr17	5364258	5365866	1000	-	5364258	5365866	0,0,255	2	171,228	0,1380
hsa_circ_0004719	chr17:19861326-19861884|-	chr17:19958013-19958571|-	chr17	19861326	19861884	1000	-	19861326	19861884	0,0,255	1	558	0
hsa_circ_0000745	chr17:20107645-20109225|+	chr17:20204332-20205912|+	chr17	20107645	20109225	1000	+	20107645	20109225	255,0,0	1	1580	0
hsa_circ_0042472	chr17:20921254-20931987|-	chr17:21017941-21028674|-	chr17	20921254	20931987	1000	-	20921254	20931987	0,0,255	4	170,102,114,133	0,1142,3171,10600
hsa_circ_0005336	chr17:25630392-25638642|+	chr17:27303366-27311616|+	chr17	25630392	25638642	1000	+	25630392	25638642	255,0,0	6	269,132,101,173,114,108	0,1413,3415,5733,6694,8142
hsa_circ_0006686	chr17:26918715-26920084|-	chr17:28591697-28593066|-	chr17	26918715	26920084	1000	-	26918715	26920084	0,0,255	2	175,1085	0,284
hsa_circ_0007614	chr17:33310020-33310571|+	chr17:34983001-34983552|+	chr17	33310020	33310571	1000	+	33310024	33310571	255,0,0	1	551	0
hsa_circ_0004751	chr17:35310185-35311207|+	chr17:36952885-36953907|+	chr17	35310185	35311207	1000	+	35310185	35311207	255,0,0	2	411,138	0,884
hsa_circ_0043297	chr17:35936438-35945538|-	chr17:37576340-37585430|-	chr17	35936438	35945538	1000	-	35936438	35945538	0,0,255	4	78,234,112,106	0,1039,8317,8994
hsa_circ_0043379	chr17:36933939-36943173|-	chr17:38777686-38786920|-	chr17	36933939	36943173	1000	-	36933939	36943173	0,0,255	6	114,39,147,153,97,98	0,647,1696,2765,6556,9136
hsa_circ_0043892	chr17:40855757-40882936|-	chr17:42703739-42730918|-	chr17	40855757	40882936	1000	-	40855757	40880959	0,0,255	18	81,82,96,179,126,41,92,197,181,92,164,103,177,121,120,129,128,91	0,862,1348,2267,4218,5136,6106,8549,9469,14236,14714,15365,16533,19055,20565,23895,25085,27088
hsa_circ_0000779	chr17:45741524-45745776|+	chr17:47664158-47668410|+	chr17	45741524	45745776	1000	+	45741524	45745776	255,0,0	3	111,102,225	0,898,4027
hsa_circ_0000785	chr17:49057106-49064598|-	chr17:50979745-50987237|-	chr17	49057106	49064598	1000	-	49057106	49064598	0,0,255	5	172,149,68,81,126	0,2778,5177,5952,7366
hsa_circ_0004027	chr17:57842331-57851246|+	chr17:59764970-59773885|+	chr17	57842331	57851246	1000	+	57842331	57851246	255,0,0	2	168,132	0,8783
hsa_circ_0044964	chr17:58538023-58543820|-	chr17:60460662-60466459|-	chr17	58538023	58543820	1000	-	58538023	58543820	0,0,255	5	125,106,68,90,169	0,1147,1331,3358,5628
hsa_circ_0006690	chr17:61841375-61843554|-	chr17:63764015-63766194|-	chr17	61841375	61843554	1000	-	61841375	61843535	0,0,255	3	175,108,283	0,724,1896
hsa_circ_0006479	chr17:62289933-62291602|-	chr17:64212573-64214242|-	chr17	62289933	62291602	1000	-	62289933	62291577	0,0,255	1	1669	0
hsa_circ_0000798	chr17:65941524-65944422|+	chr17:67945408-67948306|+	chr17	65941524	65944422	1000	+	65941524	65944422	255,0,0	3	917,83,226	0,2317,2672
hsa_circ_0003684	chr17:73238416-73239651|-	chr17:75242335-75243570|-	chr17	73238416	73239651	1000	-	73239651	73239651	0,0,255	4	138,81,104,124	0,495,727,1111
hsa_circ_0046051	chr17:78599490-78617610|+	chr17:80625690-80643810|+	chr17	78599490	78617610	1000	+	78599490	78617610	255,0,0	2	103,83	0,18037
hsa_circ_0000816	chr17:80521229-80526077|+	chr17:82563353-82568201|+	chr17	80521229	80526077	1000	+	80521229	80526077	255,0,0	2	195,148	0,4700
hsa_circ_0046430	chr17:80521229-80545148|+	chr17:82563353-82587272|+	chr17	80521229	80545148	1000	+	80521229	80545148	255,0,0	7	195,148,147,194,176,297,210	0,4700,8370,19387,20659,22550,23709
hsa_circ_0005653	chr18:196636-204692|+	chr18:196636-204692|+	chr18	196636	204692	1000	+	196636	204692	255,0,0	7	131,81,86,115,66,93,129	0,979,1410,2565,6243,6461,7927
hsa_circ_0046681	chr18:683245-706578|-	chr18:683245-706578|-	chr18	683245	706578	1000	-	683245	706578	0,0,255	10	135,88,35,83,39,73,27,87,116,109	0,2675,5328,7303,7822,7958,10636,11002,13994,23224
hsa_circ_0007238	chr18:2951052-2960847|-	chr18:2951054-2960849|-	chr18	2951052	2960847	1000	-	2951052	2960838	0,0,255	3	302,96,201	0,3449,9594
hsa_circ_0004618	chr18:7949178-7955412|+	chr18:7949180-7955414|+	chr18	7949178	7955412	1000	+	7949178	7955412	255,0,0	2	175,294	0,5940
hsa_circ_0000830	chr18:12999419-13008630|+	chr18:12999420-13008631|+	chr18	12999419	13008630	1000	+	12999419	13008630	255,0,0	3	168,126,176	0,2036,9035
hsa_circ_0003979	chr18:13681603-13682104|-	chr18:13681604-13682105|-	chr18	13681603	13682104	1000	-	13681603	13682076	0,0,255	1	501	0
hsa_circ_0007765	chr18:39607406-39629569|+	chr18:42027442-42049605|+	chr18	39607406	39629569	1000	+	39607406	39629569	255,0,0	8	106,117,132,129,70,65,85,75	0,1882,6383,10249,11338,13234,16290,22088
hsa_circ_0047612	chr18:45394693-45423180|-	chr18:47868322-47896809|-	chr18	45394693	45423180	1000	-	45394693	45423127	0,0,255	4	135,194,90,289	0,920,2152,28198
hsa_circ_0047721	chr18:51797729-51813781|+	chr18:54271359-54287411|+	chr18	51797729	51813781	1000	+	51797729	51813781	255,0,0	7	126,165,153,237,179,92,131	0,2566,6343,9307,11477,12562,15921
hsa_circ_0047981	chr18:74561481-74672811|+	chr18:76849525-76960855|+	chr18	74561481	74672811	1000	+	74561481	74672811	255,0,0	29	143,165,179,125,173,144,204,229,273,204,142,261,254,102,152,104,152,213,283,104,366,146,241,180,188,132,198,130,177	0,2249,19159,22175,25966,28483,30587,31758,45487,49493,54854,55629,58794,60542,61134,62718,64221,66121,70250,73545,75663,77511,77751,78401,87630,97995,106459,110161,111153
hsa_circ_0002485	chr18:76856475-76886375|+	chr18:79096475-79126375|+	chr18	76856475	76886375	1000	+	76856475	76886375	255,0,0	4	174,151,114,109	0,13879,16765,29791
hsa_circ_0002661	chr19:3623685-3624160|-	chr19:3623687-3624162|-	chr19	3623685	3624160	1000	-	3623685	3624160	0,0,255	1	475	0
hsa_circ_0048607	chr19:4408899-4409756|+	chr19:4408902-4409759|+	chr19	4408899	4409756	1000	+	4408899	4409756	255,0,0	1	857	0
hsa_circ_0006240	chr19:4430545-4432204|+	chr19:4430548-4432207|+	chr19	4430545	4432204	1000	+	4430545	4432204	255,0,0	2	93,256	0,1403
hsa_circ_0006461	chr19:5039846-5041262|+	chr19:5039835-5041251|+	chr19	5039846	5041262	1000	+	5039846	5041262	255,0,0	2	176,115	0,1301
hsa_circ_0004720	chr19:5039846-5047680|+	chr19:5039835-5047669|+	chr19	5039846	5047680	1000	+	5039846	5047680	255,0,0	3	176,115,194	0,1301,7640
hsa_circ_0048713	chr19:5131086-5144913|+	chr19:5131075-5144902|+	chr19	5131086	5144913	1000	+	5131086	5144913	255,0,0	10	470,121,179,223,77,56,109,186,165,120	0,811,2807,4263,6186,6545,6886,12891,13172,13707
hsa_circ_0004594	chr19:6230580-6270770|-	chr19:6230569-6270759|-	chr19	6230580	6270770	1000	-	6230580	6270770	0,0,255	3	144,83,181	0,31658,40009
hsa_circ_0049072	chr19:8530207-8539128|+	chr19:8465323-8474244|+	chr19	8530207	8539128	1000	+	8530207	8539128	255,0,0	7	192,154,50,61,102,45,78	0,911,2211,3450,6002,8340,8843
hsa_circ_0049351	chr19:11018714-11019883|+	chr19:10908038-10909207|+	chr19	11018714	11019883	1000	+	11018714	11019883	255,0,0	2	107,105	0,1064
hsa_circ_0049353	chr19:11022859-11027453|+	chr19:10912183-10916777|+	chr19	11022859	11027453	1000	+	11022859	11027453	255,0,0	4	111,178,91,82	0,1693,4223,4512
hsa_circ_0000915	chr19:18650180-18650530|-	chr19:18539370-18539720|-	chr19	18650180	18650530	1000	-	18650180	18650530	0,0,255	2	89,170	0,180
hsa_circ_0005126	chr19:19675741-19680393|-	chr19:19564932-19569584|-	chr19	19675741	19680393	1000	-	19675741	19680393	0,0,255	2	157,136	0,4516
hsa_circ_0008030	chr19:34685382-34706566|+	chr19:34194477-34215661|+	chr19	34685382	34706566	1000	+	34685382	34706566	255,0,0	5	164,130,123,177,66	0,2156,14451,20646,21118
hsa_circ_0006186	chr19:34942885-34957919|+	chr19:34451980-34467014|+	chr19	34942885	34957919	1000	+	34942885	34957919	255,0,0	7	167,94,113,156,97,106,137	0,2279,2463,6788,8489,12045,14897
hsa_circ_0006670	chr19:38631823-38633350|+	chr19:38141183-38142710|+	chr19	38631823	38633350	1000	+	38631823	38633350	255,0,0	2	252,138	0,1389
hsa_circ_0051974	chr19:50360949-50363593|+	chr19:49857692-49860336|+	chr19	50360949	50363593	1000	+	50360949	50363536	255,0,0	6	90,74,58,105,198,69	0,211,364,856,2293,2575
hsa_circ_0008749	chr19:52579296-52592255|-	chr19:52076043-52089002|-	chr19	52579296	52592255	1000	-	52579296	52588054	0,0,255	4	129,127,92,66	0,914,8743,12893
hsa_circ_0052621	chr2:10928822-10930959|-	chr2:10788696-10790833|-	chr2	10928822	10930959	1000	-	10928822	10930959	0,0,255	4	73,85,141,115	0,200,1052,2022
hsa_circ_0052762	chr2:15564438-15651474|-	chr2:15424314-15511350|-	chr2	15564438	15651474	1000	-	15564438	15651474	0,0,255	14	154,84,137,105,79,141,152,126,258,194,64,129,69,139	0,3396,36886,37372,43014,43349,44067,48907,49752,51372,53911,64579,79830,86897
hsa_circ_0005952	chr2:20454623-20455931|-	chr2:20254862-20256170|-	chr2	20454623	20455931	1000	-	20454623	20455931	0,0,255	3	122,126,138	0,353,1170
hsa_circ_0001976	chr2:20507738-20518406|-	chr2:20307977-20318645|-	chr2	20507738	20518406	1000	-	20507738	20518406	0,0,255	5	94,271,170,188,109	0,336,3516,4258,10559
hsa_circ_0052867	chr2:20507738-20527139|-	chr2:20307977-20327378|-	chr2	20507738	20527139	1000	-	20507738	20527121	0,0,255	6	94,271,170,188,109,69	0,336,3516,4258,10559,19332
hsa_circ_0005968	chr2:24787163-24807429|+	chr2:24564294-24584560|+	chr2	24787163	24807429	1000	+	24807429	24807429	255,0,0	1	20266	0
hsa_circ_0053090	chr2:26597907-26606215|+	chr2:26375039-26383347|+	chr2	26597907	26606215	1000	+	26597907	26606215	255,0,0	2	109,49	0,8259
hsa_circ_0006330	chr2:36586046-36669878|+	chr2:36358903-36442735|+	chr2	36586046	36669878	1000	+	36623756	36669878	255,0,0	3	37884,243,121	0,82354,83711
hsa_circ_0005507	chr2:36605499-36623930|+	chr2:36378356-36396787|+	chr2	36605499	36623930	1000	+	36623756	36623930	255,0,0	1	18431	0
hsa_circ_0005579	chr2:36623756-36691798|+	chr2:36396613-36464655|+	chr2	36623756	36691798	1000	+	36623756	36691798	255,0,0	4	174,243,121,122	0,44644,46001,67920
hsa_circ_0002348	chr2:36623756-36706837|+	chr2:36396613-36479694|+	chr2	36623756	36706837	1000	+	36623756	36706837	255,0,0	6	174,243,121,122,183,198	0,44644,46001,67920,80275,82883
hsa_circ_0005539	chr2:44139570-44153100|-	chr2:43912431-43925961|-	chr2	44139570	44153100	1000	-	44139570	44153100	0,0,255	5	127,109,143,91,69	0,5593,5824,12635,13461
hsa_circ_0004916	chr2:44428324-44436466|+	chr2:44201185-44209327|+	chr2	44428324	44436466	1000	+	44428338	44436466	255,0,0	2	860,118	0,8024
hsa_circ_0006911	chr2:48725631-48738607|+	chr2:48498492-48511468|+	chr2	48725631	48738607	1000	+	48738607	48738607	255,0,0	5	243,33,117,99,129	0,7071,8776,11522,12847
hsa_circ_0005779	chr2:54122143-54128696|-	chr2:53895006-53901559|-	chr2	54122143	54128696	1000	-	54122143	54128696	0,0,255	7	70,154,82,130,54,137,210	0,576,1797,2863,3294,4874,6343
hsa_circ_0001009	chr2:58449076-58459247|-	chr2:58221941-58232112|-	chr2	58449076	58459247	1000	-	58449076	58459247	0,0,255	4	101,57,61,59	0,4786,7872,10112
hsa_circ_0054687	chr2:61014081-61019424|+	chr2:60786946-60792289|+	chr2	61014081	61019424	1000	+	61014081	61019424	255,0,0	4	120,110,122,161	0,564,4814,5182
hsa_circ_0001014	chr2:61340904-61345251|+	chr2:61113769-61118116|+	chr2	61340904	61345251	1000	+	61340904	61345251	255,0,0	4	2301,29,74,89	0,3587,3697,4258
hsa_circ_0054853	chr2:61709514-61717911|-	chr2:61482379-61490776|-	chr2	61709514	61717911	1000	-	61709514	61717911	0,0,255	7	160,135,169,195,107,184,135	0,577,1557,3388,5785,6208,8262
hsa_circ_0005050	chr2:61712902-61717911|-	chr2:61485767-61490776|-	chr2	61712902	61717911	1000	-	61712902	61717911	0,0,255	4	195,107,184,135	0,2397,2820,4874
hsa_circ_0007473	chr2:62100136-62110683|-	chr2:61873001-61883548|-	chr2	62100136	62110683	1000	-	62100136	62110683	0,0,255	8	111,97,140,133,122,143,109,90	0,195,3093,3918,4391,5867,7284,10457
hsa_circ_0054958	chr2:64189191-64211153|-	chr2:63962057-63984019|-	chr2	64189191	64211153	1000	-	64189191	64211133	0,0,255	6	386,132,35,79,242,156	0,3777,6899,10108,19588,21806
hsa_circ_0001021	chr2:64778576-64780543|+	chr2:64551442-64553409|+	chr2	64778576	64780543	1000	+	64778608	64780543	255,0,0	1	1967	0
