circpedia	hg19	hg38	circname	gene_Ensembl	gene_Refseq	transcript_Ensembl	transcript_Refseq
CIRCHSA_DLG1_11	chr3:196817782-196846401|-	chr3:197090911-197119530|-	circDLG1(13-16)	ENSG00000075711.21	DLG1	ENST00000346964.6	DLG1-201
CIRCHSA_TLK1_5	chr2:171902683-171906684|-	chr2:171046173-171050174|-	circTLK1(10,11,12)	ENSG00000198586.14	TLK1	ENST00000360843.7	TLK1-202
CIRCHSA_STK3_26	chr8:99718694-99761618|-	chr8:98706466-98749390|-	circSTK3(4,5,6)	ENSG00000104375.17	STK3	ENST00000419617.7	STK3-201
CIRCHSA_ANKRD26_42	chr10:27311486-27337908|-	chr10:27022557-27048979|-	circANKRD26(17-29)	ENSG00000107890.17	ANKRD26	ENST00000376087.5	ANKRD26-201
CIRCHSA_HERC4_176	chr10:69773782-69804320|-	chr10:68014025-68044563|-	circHERC4(4-9)	ENSG00000148634.16	HERC4	ENST00000373700.9	HERC4-202
CIRCHSA_UTRN_2	chr6:144758700-144765518|+	chr6:144437564-144444382|+	circUTRN(11-14)	ENSG00000152818.19	UTRN	ENST00000367545.8	UTRN-204
CIRCHSA_UTRN_6	chr6:144808683-144814592|+	chr6:144487547-144493456|+	circUTRN(29-33)	ENSG00000152818.19	UTRN	ENST00000367545.8	UTRN-204
CIRCHSA_UTRN_7	chr6:144808683-144832259|+	chr6:144487547-144511123|+	circUTRN(29-35)	ENSG00000152818.19	UTRN	ENST00000367545.8	UTRN-204
CIRCHSA_FAM13B_15	chr5:137342678-137354835|-	chr5:138006989-138019146|-	circFAM13B(3-7)	ENSG00000031003.11	FAM13B	ENST00000033079.7	FAM13B-201
CIRCHSA_FAM13B_16	chr5:137342678-137356886|-	chr5:138006989-138021197|-	circFAM13B(2-7)	ENSG00000031003.11	FAM13B	ENST00000033079.7	FAM13B-201
CIRCHSA_PICALM_19	chr11:85722072-85742653|-	chr11:86011029-86031611|-	circPICALM(2-7)	ENSG00000073921.18	PICALM	ENST00000393346.8	PICALM-202
CIRCHSA_ENSG00000246596_3	chr5:177053436-177059739|-	chr5:177626435-177632738|-	circENSG00000246596(2,3,4)	ENSG00000246596.7	ENSG00000246596	ENST00000500444.3	ENST00000500444
CIRCHSA_WSB1_10	chr17:25630392-25638642|+	chr17:27303366-27311616|+	circWSB1(3-8)	ENSG00000109046.15	WSB1	ENST00000467843.6	WSB1-204
CIRCHSA_ADAMTS17_37	chr15:100589061-100594259|-	chr15:100048856-100054054|-	circADAMTS17(16,17,18)	ENSG00000140470.15	ADAMTS17	ENST00000268070.9	ADAMTS17-201
CIRCHSA_PSMD14_1	chr2:162223988-162251714|+	chr2:161367477-161395203|+	circPSMD14(4-10)	ENSG00000115233.12	PSMD14	ENST00000409682.8	PSMD14-201
CIRCHSA_CIZ1_1	chr9:130931330-130943078|-	chr9:128169051-128180799|-	circCIZ1(7-16)	ENSG00000148337.22	CIZ1	ENST00000651955.1	CIZ1-228
CIRCHSA_NCOR2_8	chr12:124904502-124922542|-	chr12:124419956-124437996|-	circNCOR2(9-14)	ENSG00000196498.14	NCOR2	ENST00000404621.5	NCOR2-203
CIRCHSA_PTK2_6	chr8:141710989-141716304|-	chr8:140700890-140706205|-	circPTK2(24,25,26)	ENSG00000169398.20	PTK2	ENST00000522684.5	PTK2-240
CIRCHSA_SPAG5_4	chr17:26918715-26920084|-	chr17:28591697-28593066|-	circSPAG5(3,4)	ENSG00000076382.17	SPAG5	ENST00000321765.10	SPAG5-201
CIRCHSA_FAM120A_1	chr9:96233422-96238620|+	chr9:93471140-93476338|+	circFAM120A(2,3)	ENSG00000048828.18	FAM120A	ENST00000277165.11	FAM120A-201
CIRCHSA_FANCD2_1	chr3:10088263-10091189|+	chr3:10046579-10049505|+	circFANCD2(15,16,17)	ENSG00000144554.13	FANCD2	ENST00000682647.1	FANCD2-215
CIRCHSA_SEMA3C_10	chr7:80418621-80435074|-	chr7:80789305-80805758|-	circSEMA3C(7-12)	ENSG00000075223.14	SEMA3C	ENST00000265361.8	SEMA3C-201
CIRCHSA_CHD7_1	chr8:61653817-61655656|+	chr8:60741258-60743097|+	circCHD7(2)	ENSG00000171316.14	CHD7	ENST00000423902.7	CHD7-201
CIRCHSA_KHDRBS1_26	chr1:32495898-32510991|+	chr1:32030297-32045390|+	circKHDRBS1(2-10)	ENSG00000121774.18	KHDRBS1	ENST00000484270.2	KHDRBS1-203
CIRCHSA_DYNC1LI1_11	chr3:32569937-32582698|-	chr3:32528445-32541206|-	circDYNC1LI1(5-12)	ENSG00000144635.9	DYNC1LI1	ENST00000273130.9	DYNC1LI1-201
CIRCHSA_VPS35_3	chr16:46708225-46711310|-	chr16:46674313-46677398|-	circVPS35(7-10)	ENSG00000069329.18	VPS35	ENST00000299138.12	VPS35-201
CIRCHSA_CCSER1_2	chr4:91229394-91321280|+	chr4:90308243-90400129|+	circCCSER1(2,3,4)	ENSG00000184305.16	CCSER1	ENST00000509176.6	CCSER1-209
CIRCHSA_PCMTD1_4	chr8:52773404-52773806|-	chr8:51860844-51861246|-	circPCMTD1(3)	ENSG00000168300.14	PCMTD1	ENST00000360540.9	PCMTD1-201
CIRCHSA_PHACTR4_21	chr1:28800065-28807116|+	chr1:28473553-28480604|+	circPHACTR4(8,9,10)	ENSG00000204138.13	PHACTR4	ENST00000632421.1	PHACTR4-206
CIRCHSA_NFXL1_12	chr4:47896196-47913011|-	chr4:47894179-47910994|-	circNFXL1(3-11)	ENSG00000170448.12	NFXL1	ENST00000329043.7	NFXL1-201
CIRCHSA_PSMC3IP_1	chr17:40725124-40725641|-	chr17:42573106-42573623|-	circPSMC3IP(5,6,7)	ENSG00000131470.15	PSMC3IP	ENST00000393795.8	PSMC3IP-202
CIRCHSA_ANKRD17_1	chr4:73944358-73958017|-	chr4:73078641-73092300|-	circANKRD17(29,30,31)	ENSG00000132466.20	ANKRD17	ENST00000358602.9	ANKRD17-202
CIRCHSA_MYO10_9	chr5:16779653-16783578|-	chr5:16779544-16783469|-	circMYO10(5-9)	ENSG00000145555.15	MYO10	ENST00000513610.6	MYO10-210
CIRCHSA_ETFA_5	chr15:76566752-76588078|-	chr15:76274411-76295737|-	circETFA(2-9)	ENSG00000140374.17	ETFA	ENST00000690610.1	ETFA-233
CIRCHSA_UVSSA_11	chr4:1343311-1360219|+	chr4:1349523-1366431|+	circUVSSA(3-8)	ENSG00000163945.19	UVSSA	ENST00000677428.1	UVSSA-210
CIRCHSA_ATF7IP_1	chr12:14576842-14578407|+	chr12:14423908-14425473|+	circATF7IP(2)	ENSG00000171681.13	ATF7IP	ENST00000539659.5	ATF7IP-213
CIRCHSA_DAP3_41	chr1:155686796-155695810|+	chr1:155717005-155726019|+	circDAP3(5-8)	ENSG00000132676.16	DAP3	ENST00000471214.5	DAP3-212
CIRCHSA_SDCCAG8_21	chr1:243579003-243589860|+	chr1:243415701-243426558|+	circSDCCAG8(14,15,16)	ENSG00000054282.16	SDCCAG8	ENST00000366541.8	SDCCAG8-201
CIRCHSA_CDK13_1	chr7:40027197-40027857|+	chr7:39987598-39988258|+	circCDK13(2)	ENSG00000065883.18	CDK13	ENST00000340829.10	CDK13-202
CIRCHSA_ARHGAP5_2	chr14:32559707-32586493|+	chr14:32090501-32117287|+	circARHGAP5(2,3)	ENSG00000100852.14	ARHGAP5	ENST00000556611.5	ARHGAP5-209
CIRCHSA_EHMT1_88	chr9:140705912-140712590|+	chr9:137811460-137818138|+	circEHMT1(19-25)	ENSG00000181090.21	EHMT1	ENST00000460843.6	EHMT1-203
CIRCHSA_KLHDC4_3	chr16:87782278-87795646|-	chr16:87748672-87762040|-	circKLHDC4(2-5)	ENSG00000104731.14	KLHDC4	ENST00000567298.5	KLHDC4-218
CIRCHSA_RSBN1L_4	chr7:77394811-77402631|+	chr7:77765494-77773314|+	circRSBN1L(4,5,6)	ENSG00000187257.16	RSBN1L	ENST00000334955.13	RSBN1L-201
CIRCHSA_ABCC4_11	chr13:95768175-95840796|-	chr13:95115921-95188542|-	circABCC4(10-20)	ENSG00000125257.16	ABCC4	ENST00000645237.2	ABCC4-214
CIRCHSA_PHKB_21	chr16:47531309-47644831|+	chr16:47497398-47610920|+	circPHKB(3-15)	ENSG00000102893.18	PHKB	ENST00000566044.5	PHKB-208
CIRCHSA_ATP9A_2	chr20:50273476-50292747|-	chr20:51656937-51676208|-	circATP9A(5-9)	ENSG00000054793.14	ATP9A	ENST00000311637.9	ATP9A-201
CIRCHSA_ZZZ3_32	chr1:78097534-78107340|-	chr1:77631849-77641655|-	circZZZ3(2-5)	ENSG00000036549.13	ZZZ3	ENST00000370801.8	ZZZ3-202
CIRCHSA_TRIT1_1	chr1:40319641-40323089|-	chr1:39853969-39857417|-	circTRIT1(3,4)	ENSG00000043514.17	TRIT1	ENST00000648678.1	TRIT1-216
CIRCHSA_NAB1_1	chr2:191523883-191535185|+	chr2:190659157-190670459|+	circNAB1(2,3)	ENSG00000138386.17	NAB1	ENST00000409581.5	NAB1-202
CIRCHSA_AURKA_2	chr20:54956488-54961589|-	chr20:56381432-56386533|-	circAURKA(4-7)	ENSG00000087586.18	AURKA	ENST00000395914.5	AURKA-207
CIRCHSA_RARS1_3	chr5:167915606-167921655|+	chr5:168488601-168494650|+	circRARS1(2-5)	ENSG00000113643.9	RARS1	ENST00000231572.8	RARS1-201
CIRCHSA_TAF4_21	chr20:60572605-60589763|-	chr20:61997549-62014707|-	circTAF4(2-14)	ENSG00000130699.20	TAF4	ENST00000252996.9	TAF4-201
CIRCHSA_SNX14_11	chr6:86267693-86284096|-	chr6:85557975-85574378|-	circSNX14(2-7)	ENSG00000135317.14	SNX14	ENST00000684422.1	SNX14-291
CIRCHSA_YWHAE_1	chr17:1257504-1265302|-	chr17:1354210-1362008|-	circYWHAE(3,4,5)	ENSG00000108953.17	YWHAE	ENST00000264335.13	YWHAE-201
CIRCHSA_SNX27_2	chr1:151630710-151641111|+	chr1:151658234-151668635|+	circSNX27(2-6)	ENSG00000143376.14	SNX27	ENST00000642376.1	SNX27-207
CIRCHSA_EDC3_4	chr15:74963795-74967483|-	chr15:74671454-74675142|-	circEDC3(2,3)	ENSG00000179151.13	EDC3	ENST00000315127.9	EDC3-201
CIRCHSA_MAP3K15_8	chrX:19475030-19482524|-	chrX:19456912-19464406|-	circMAP3K15(3,4,5)	ENSG00000180815.15	MAP3K15	ENST00000518578.5	MAP3K15-204
CIRCHSA_FAM210A_1	chr18:13681603-13682104|-	chr18:13681604-13682105|-	circFAM210A(2)	ENSG00000177150.13	FAM210A	ENST00000651643.1	FAM210A-208
CIRCHSA_FAF1_5	chr1:51001040-51061888|-	chr1:50535368-50596216|-	circFAF1(9-15)	ENSG00000185104.21	FAF1	ENST00000396153.7	FAF1-201
CIRCHSA_FCHSD2_2	chr11:72695132-72700142|-	chr11:72984087-72989097|-	circFCHSD2(5,6,7)	ENSG00000137478.15	FCHSD2	ENST00000311172.11	FCHSD2-201
CIRCHSA_RBM6_4	chr3:50095160-50099541|+	chr3:50057727-50062108|+	circRBM6(5-11)	ENSG00000004534.15	RBM6	ENST00000442092.5	RBM6-210
CIRCHSA_KDM5A_4	chr12:459786-465703|-	chr12:350620-356537|-	circKDM5A(6-10)	ENSG00000073614.13	KDM5A	ENST00000399788.7	KDM5A-201
CIRCHSA_CEP162_6	chr6:84870530-84872989|-	chr6:84160811-84163270|-	circCEP162(10,11,12)	ENSG00000135315.12	CEP162	ENST00000461137.5	CEP162-204
CIRCHSA_PRPF39_2	chr14:45564423-45566208|+	chr14:45095220-45097005|+	circPRPF39(2,3,4)	ENSG00000185246.18	PRPF39	ENST00000355765.11	PRPF39-201
CIRCHSA_NBAS_229	chr2:15564438-15651474|-	chr2:15424314-15511350|-	circNBAS(10-23)	ENSG00000151779.14	NBAS	ENST00000281513.10	NBAS-201
CIRCHSA_ATN1_11	chr12:7043002-7050186|+	chr12:6933839-6941023|+	circATN1(2-8)	ENSG00000111676.15	ATN1	ENST00000356654.8	ATN1-201
CIRCHSA_ZNF638_53	chr2:71623270-71645769|+	chr2:71396140-71418639|+	circZNF638(11-21)	ENSG00000075292.19	ZNF638	ENST00000409544.5	ZNF638-203
CIRCHSA_ADAMTS14_1	chr10:72462067-72468534|+	chr10:70702311-70708778|+	circADAMTS14(3,4)	ENSG00000138316.11	ADAMTS14	ENST00000373207.2	ADAMTS14-201
CIRCHSA_COPB2_84	chr3:139093330-139097031|-	chr3:139374488-139378189|-	circCOPB2(6,7,8)	ENSG00000184432.11	COPB2	ENST00000677073.1	COPB2-215
CIRCHSA_UBA2_71	chr19:34942885-34957919|+	chr19:34451980-34467014|+	circUBA2(10-16)	ENSG00000126261.13	UBA2	ENST00000246548.9	UBA2-201
CIRCHSA_TULP4_7	chr6:158922709-158925210|+	chr6:158501677-158504178|+	circTULP4(13)	ENSG00000130338.13	TULP4	ENST00000367097.8	TULP4-202
CIRCHSA_FAM126A_3	chr7:23015828-23023664|-	chr7:22976209-22984045|-	circFAM126A(3-7)	ENSG00000122591.13	FAM126A	ENST00000465661.2	FAM126A-206
CIRCHSA_ZFAND6_1	chr15:80412669-80415142|+	chr15:80120327-80122800|+	circZFAND6(3,4,5)	ENSG00000086666.19	ZFAND6	ENST00000613266.4	ZFAND6-222
CIRCHSA_SLF2_23	chr10:102675755-102685776|+	chr10:100915998-100926019|+	circSLF2(2-7)	ENSG00000119906.13	SLF2	ENST00000649226.1	SLF2-206
CIRCHSA_EYA3_6	chr1:28362054-28374937|-	chr1:28035543-28048426|-	circEYA3(3-6)	ENSG00000158161.16	EYA3	ENST00000373871.8	EYA3-203
CIRCHSA_ARHGEF33_20	chr2:39180302-39193286|+	chr2:38953161-38966145|+	circARHGEF33(12-17)	ENSG00000214694.13	ARHGEF33	ENST00000409978.7	ARHGEF33-202
CIRCHSA_ASAP1_139	chr8:131164981-131193126|-	chr8:130152735-130180880|-	circASAP1(8-13)	ENSG00000153317.15	ASAP1	ENST00000518721.6	ASAP1-202
CIRCHSA_USP54_39	chr10:75331178-75336119|-	chr10:73571420-73576361|-	circUSP54(2,3,4)	ENSG00000166348.20	USP54	ENST00000687698.1	USP54-222
CIRCHSA_MKLN1_2	chr7:131060182-131084192|+	chr7:131375423-131399433|+	circMKLN1(3-7)	ENSG00000128585.18	MKLN1	ENST00000421797.6	MKLN1-203
CIRCHSA_MKLN1_7	chr7:131071878-131084192|+	chr7:131387119-131399433|+	circMKLN1(4-7)	ENSG00000128585.18	MKLN1	ENST00000421797.6	MKLN1-203
CIRCHSA_DPY19L2P1_17	chr7:35157359-35184702|-	chr7:35117747-35145090|-	circDPY19L2P1(4-12)	ENSG00000189212.14	DPY19L2P1	ENST00000458672.5	DPY19L2P1-203
CIRCHSA_ARHGAP29_8	chr1:94685813-94697199|-	chr1:94220257-94231643|-	circARHGAP29(2,3)	ENSG00000137962.13	ARHGAP29	ENST00000552844.5	ARHGAP29-205
CIRCHSA_USP14_9	chr18:196636-204692|+	chr18:196636-204692|+	circUSP14(6-12)	ENSG00000101557.15	USP14	ENST00000582707.5	USP14-208
CIRCHSA_HECTD2_2	chr10:93185037-93221941|+	chr10:91425280-91462184|+	circHECTD2(2-5)	ENSG00000165338.17	HECTD2	ENST00000446394.5	HECTD2-204
CIRCHSA_LINC01440_5	chr20:54054666-54084752|+	chr20:55438128-55468214|+	circLINC01440(3,4,5)	ENSG00000235166.8	LINC01440	ENST00000660487.1	LINC01440-212
CIRCHSA_ORC4_52	chr2:148730307-148739650|-	chr2:147972738-147982081|-	circORC4(2-5)	ENSG00000115947.14	ORC4	ENST00000535373.5	ORC4-214
CIRCHSA_ASXL1_1	chr20:30954186-30956926|+	chr20:32366383-32369123|+	circASXL1(2,3,4)	ENSG00000171456.21	ASXL1	ENST00000651418.1	ASXL1-226
CIRCHSA_GCLM_2	chr1:94360169-94367225|-	chr1:93894613-93901669|-	circGCLM(3-6)	ENSG00000023909.10	GCLM	ENST00000370238.8	GCLM-201
CIRCHSA_MIR493HG_74	chr14:101403739-101415933|+	chr14:100937402-100949596|+	circMIR493HG(12-19)	ENSG00000258399.8	MIR493HG	ENST00000699459.1	MIR493HG-203
CIRCHSA_CPSF2_1	chr14:92592465-92609638|+	chr14:92126121-92143294|+	circCPSF2(2-9)	ENSG00000165934.13	CPSF2	ENST00000298875.9	CPSF2-201
CIRCHSA_DLG1_26	chr3:196863412-196869639|-	chr3:197136541-197142768|-	circDLG1(8-11)	ENSG00000075711.21	DLG1	ENST00000346964.6	DLG1-201
CIRCHSA_AATF_1	chr17:35310185-35311207|+	chr17:36952885-36953907|+	circAATF(3,4)	ENSG00000275700.6	AATF	ENST00000679508.1	AATF-210
CIRCHSA_SHANK2_1	chr11:70505932-70507783|-	chr11:70659827-70661678|-	circSHANK2(16,17)	ENSG00000162105.21	SHANK2	ENST00000601538.6	SHANK2-214
CIRCHSA_SHANK2_9		chr11:70896500-71147338|-	circSHANK2(3-11)	ENSG00000162105.21	SHANK2	ENST00000601538.6	SHANK2-214
CIRCHSA_RAB3IP_4	chr12:70193988-70195501|+	chr12:69800208-69801721|+	circRAB3IP(7,8)	ENSG00000127328.22	RAB3IP	ENST00000247833.12	RAB3IP-201
CIRCHSA_SDF4_1	chr1:1158623-1159348|-	chr1:1223243-1223968|-	circSDF4(3,4)	ENSG00000078808.20	SDF4	ENST00000360001.12	SDF4-202
CIRCHSA_SDF4_2	chr1:1158623-1164326|-	chr1:1223243-1228946|-	circSDF4(2,3,4)	ENSG00000078808.20	SDF4	ENST00000360001.12	SDF4-202
CIRCHSA_TRDMT1_1	chr10:17199439-17210916|-	chr10:17157440-17168917|-	circTRDMT1(3-8)	ENSG00000107614.22	TRDMT1	ENST00000377799.8	TRDMT1-203
CIRCHSA_PPP1R21_98	chr2:48725631-48738607|+	chr2:48498492-48511468|+	circPPP1R21(17-21)	ENSG00000162869.16	PPP1R21	ENST00000294952.13	PPP1R21-202
CIRCHSA_FKBP8_3	chr19:18650180-18650530|-	chr19:18539370-18539720|-	circFKBP8(3,4)	ENSG00000105701.16	FKBP8	ENST00000597960.7	FKBP8-209
CIRCHSA_KHDC4_40	chr1:155885663-155887463|-	chr1:155915872-155917672|-	circKHDC4(11,12,13)	ENSG00000132680.11	KHDC4	ENST00000368321.8	KHDC4-203
CIRCHSA_STAT6_3	chr12:57492287-57493873|-	chr12:57098504-57100090|-	circSTAT6(14-19)	ENSG00000166888.12	STAT6	ENST00000300134.8	STAT6-201
CIRCHSA_TM7SF3_3	chr12:27143382-27152609|-	chr12:26990449-26999676|-	circTM7SF3(3-6)	ENSG00000064115.11	TM7SF3	ENST00000343028.9	TM7SF3-201
CIRCHSA_LENG8_25	chr19:54969492-54969700|+	chr19:54458313-54458521|+	circLENG8(15)	ENSG00000167615.17	LENG8	ENST00000326764.10	LENG8-201
CIRCHSA_FRMD4A_1	chr10:13705452-13717044|-	chr10:13663452-13675044|-	circFRMD4A(16-19)	ENSG00000151474.23	FRMD4A	ENST00000357447.7	FRMD4A-203
CIRCHSA_PALS1_3	chr14:67736417-67770316|+	chr14:67269700-67303599|+	circPALS1(2-8)	ENSG00000072415.10	PALS1	ENST00000677382.1	PALS1-210
CIRCHSA_NAA16_4	chr13:41892941-41910892|+	chr13:41318805-41336756|+	circNAA16(3-9)	ENSG00000172766.19	NAA16	ENST00000379406.8	NAA16-201
CIRCHSA_ARHGEF7_5	chr13:111870025-111896641|+	chr13:111217678-111244294|+	circARHGEF7(5-8)	ENSG00000102606.20	ARHGEF7	ENST00000317133.9	ARHGEF7-202
CIRCHSA_ARHGEF7_7	chr13:111857635-111885640|+	chr13:111205288-111233293|+	circARHGEF7(3-6)	ENSG00000102606.20	ARHGEF7	ENST00000317133.9	ARHGEF7-202
CIRCHSA_TLCD4_1	chr1:95609446-95616975|+	chr1:95143890-95151419|+	circTLCD4(2-5)	ENSG00000152078.10	TLCD4	ENST00000370203.9	TLCD4-201
CIRCHSA_KPNB1_10	chr17:45741524-45745776|+	chr17:47664158-47668410|+	circKPNB1(7,8,9)	ENSG00000108424.11	KPNB1	ENST00000535458.6	KPNB1-202
CIRCHSA_DOCK1_10	chr10:128768965-128926028|+	chr10:126970701-127127764|+	circDOCK1(2-27)	ENSG00000150760.13	DOCK1	ENST00000280333.9	DOCK1-201
CIRCHSA_NPHP4_2	chr1:5987708-5993389|-	chr1:5927648-5933329|-	circNPHP4(8,9)	ENSG00000131697.18	NPHP4	ENST00000478423.6	NPHP4-208
CIRCHSA_BRD1_33	chr22:50197851-50217979|-	chr22:49804203-49824331|-	circBRD1(2,3)	ENSG00000100425.19	BRD1	ENST00000404034.5	BRD1-202
CIRCHSA_PYGL_4	chr14:51374988-51387785|-	chr14:50908270-50921067|-	circPYGL(6-19)	ENSG00000100504.17	PYGL	ENST00000532462.5	PYGL-205
CIRCHSA_FMN2_24	chr1:240421244-240519208|+	chr1:240257944-240355908|+	circFMN2(7-14)	ENSG00000155816.21	FMN2	ENST00000319653.14	FMN2-201
CIRCHSA_CPSF6_1	chr12:69644908-69656342|+	chr12:69251128-69262562|+	circCPSF6(2-9)	ENSG00000111605.18	CPSF6	ENST00000435070.7	CPSF6-202
CIRCHSA_CCDC14_8	chr3:123649948-123667979|-	chr3:123931101-123949132|-	circCCDC14(6-12)	ENSG00000175455.16	CCDC14	ENST00000409697.8	CCDC14-203
CIRCHSA_BARD1_11	chr2:215645283-215661841|-	chr2:214780559-214797117|-	circBARD1(2,3,4)	ENSG00000138376.11	BARD1	ENST00000260947.9	BARD1-201
CIRCHSA_ELK4_1	chr1:205585605-205593019|-	chr1:205616477-205623891|-	circELK4(2-5)	ENSG00000158711.14	ELK4	ENST00000616704.4	ELK4-204
CIRCHSA_LIG3_1	chr17:33310020-33310571|+	chr17:34983001-34983552|+	circLIG3(2)	ENSG00000005156.12	LIG3	ENST00000585941.5	LIG3-205
CIRCHSA_TMEM209_20	chr7:129810239-129818367|-	chr7:130170399-130178527|-	circTMEM209(10-14)	ENSG00000146842.17	TMEM209	ENST00000397622.7	TMEM209-201
CIRCHSA_MAP4_31	chr3:47956306-47969840|-	chr3:47914816-47928350|-	circMAP4(4-8)	ENSG00000047849.22	MAP4	ENST00000683076.1	MAP4-217
CIRCHSA_FAM216A_3	chr12:110922882-110925748|+	chr12:110485077-110487943|+	circFAM216A(3-6)	ENSG00000204856.12	FAM216A	ENST00000377673.10	FAM216A-201
CIRCHSA_MAP7_3	chr6:136709530-136710655|-	chr6:136388392-136389517|-	circMAP7(4,5)	ENSG00000135525.19	MAP7	ENST00000617204.4	MAP7-208
CIRCHSA_STAG1_26	chr3:136136726-136141886|-	chr3:136417884-136423044|-	circSTAG1(17-21)	ENSG00000118007.13	STAG1	ENST00000236698.9	STAG1-201
CIRCHSA_MAD1L1_1	chr7:1937835-1976533|-	chr7:1898199-1936897|-	circMAD1L1(15,16)	ENSG00000002822.16	MAD1L1	ENST00000402746.5	MAD1L1-203
CIRCHSA_SMG1_10	chr16:18846213-18856973|-	chr16:18834891-18845651|-	circSMG1(39-49)	ENSG00000157106.18	SMG1	ENST00000446231.7	SMG1-201
CIRCHSA_ENSG00000286192_8	chr7:2252846-2275199|-	chr7:2213211-2235564|-	circENSG00000286192(4-14)	ENSG00000286192.1	ENSG00000286192	ENST00000651235.1	ENST00000651235
CIRCHSA_DNAH14_223	chr1:225140371-225195246|+	chr1:224952669-225007544|+	circDNAH14(2-10)	ENSG00000185842.16	DNAH14	ENST00000430092.5	DNAH14-208
CIRCHSA_MYCBP2_351	chr13:77791974-77818086|-	chr13:77217839-77243951|-	circMYCBP2(16-21)	ENSG00000005810.20	MYCBP2	ENST00000682321.1	MYCBP2-208
CIRCHSA_AAGAB_1	chr15:67524151-67529158|-	chr15:67231813-67236820|-	circAAGAB(2-5)	ENSG00000103591.13	AAGAB	ENST00000261880.10	AAGAB-201
CIRCHSA_TEX2_3	chr17:62289933-62291602|-	chr17:64212573-64214242|-	circTEX2(2)	ENSG00000136478.9	TEX2	ENST00000258991.7	TEX2-201
CIRCHSA_FLG-AS1_15	chr1:152287381-152307915|+	chr1:152314905-152335439|+	circFLG-AS1(5,6,7)	ENSG00000237975.7	FLG-AS1	ENST00000420707.5	FLG-AS1-204
CIRCHSA_TM9SF3_1	chr10:98303832-98325183|-	chr10:96544075-96565426|-	circTM9SF3(3-9)	ENSG00000077147.16	TM9SF3	ENST00000371142.9	TM9SF3-201
CIRCHSA_EHMT1_15	chr9:140648622-140657272|+	chr9:137754170-137762820|+	circEHMT1(8,9,10)	ENSG00000181090.21	EHMT1	ENST00000462484.5	EHMT1-204
CIRCHSA_ZC3H4_6	chr19:47597226-47597865|-	chr19:47093969-47094608|-	circZC3H4(3,4)	ENSG00000130749.10	ZC3H4	ENST00000253048.10	ZC3H4-201
CIRCHSA_UBR5_92	chr8:103341317-103373854|-	chr8:102329089-102361626|-	circUBR5(2-11)	ENSG00000104517.13	UBR5	ENST00000520539.6	UBR5-207
CIRCHSA_SNRNP48_1	chr6:7602855-7606428|+	chr6:7602622-7606195|+	circSNRNP48(6,7,8)	ENSG00000168566.13	SNRNP48	ENST00000342415.6	SNRNP48-201
CIRCHSA_ABCC4_20	chr13:95829960-95840796|-	chr13:95177706-95188542|-	circABCC4(10-13)	ENSG00000125257.16	ABCC4	ENST00000645237.2	ABCC4-214
CIRCHSA_CREBBP_9	chr16:3900297-3901010|-	chr16:3850296-3851009|-	circCREBBP(2)	ENSG00000005339.15	CREBBP	ENST00000262367.10	CREBBP-201
CIRCHSA_GTF2IP20_1	chr1:224142178-224149975|-	chr1:223954476-223962273|-	circGTF2IP20(8-11)	ENSG00000272645.5	GTF2IP20	ENST00000634905.2	GTF2IP20-203
CIRCHSA_ATF2_64	chr2:175976295-175986268|-	chr2:175111567-175121540|-	circATF2(5-10)	ENSG00000115966.18	ATF2	ENST00000426833.7	ATF2-212
CIRCHSA_PPP1R13B_39	chr14:104245081-104263855|-	chr14:103778744-103797518|-	circPPP1R13B(2,3,4)	ENSG00000088808.18	PPP1R13B	ENST00000202556.14	PPP1R13B-201
CIRCHSA_UBXN7_6	chr3:196118683-196129890|-	chr3:196391812-196403019|-	circUBXN7(3,4,5)	ENSG00000163960.12	UBXN7	ENST00000296328.9	UBXN7-201
CIRCHSA_UBXN7_7	chr3:196118683-196134264|-	chr3:196391812-196407393|-	circUBXN7(2-5)	ENSG00000163960.12	UBXN7	ENST00000296328.9	UBXN7-201
CIRCHSA_NUP153_15	chr6:17648037-17649531|-	chr6:17647806-17649300|-	circNUP153(13,14)	ENSG00000124789.12	NUP153	ENST00000537253.5	NUP153-202
CIRCHSA_MYPN_34	chr10:69925458-69935218|+	chr10:68165701-68175461|+	circMYPN(9-12)	ENSG00000138347.17	MYPN	ENST00000354393.7	MYPN-201
CIRCHSA_LSM14A_5	chr19:34685382-34706566|+	chr19:34194477-34215661|+	circLSM14A(2-6)	ENSG00000257103.9	LSM14A	ENST00000544216.8	LSM14A-203
CIRCHSA_MBTD1_3	chr17:49278952-49280589|-	chr17:51201591-51203228|-	circMBTD1(9-12)	ENSG00000011258.16	MBTD1	ENST00000586178.6	MBTD1-204
CIRCHSA_SLF1_1	chr5:93964515-93966448|+	chr5:94628810-94630743|+	circSLF1(2,3,4)	ENSG00000133302.13	SLF1	ENST00000265140.10	SLF1-201
CIRCHSA_HAT1_4	chr2:172782046-172841247|+	chr2:171925536-171976308|+	circHAT1(2-8)	ENSG00000128708.13	HAT1	ENST00000412731.5	HAT1-203
CIRCHSA_DNAJC6_4	chr1:65830317-65831879|+	chr1:65364634-65366196|+	circDNAJC6(2,3,4)	ENSG00000116675.16	DNAJC6	ENST00000494710.6	DNAJC6-207
