exorbase	hg19	hg38	circBase ID	Gene symbol	Gene type	Sample type	Tumor frequency of EVPs(Sample number)	Benign frequency of EVPs(Sample number)	Healthy frequency of EVPs(Sample number)	Urine frequency of EVPs(Sample number)	CSF frequency of EVPs(Sample number)	Bile frequency of EVPs(Sample number)	Tumor frequency(Sample number)	Healthy frequency(Sample number)	Urine frequency(Sample number)	CSF frequency(Sample number)	Tumor mean(EVPs)	Benign mean(EVPs)	Healthy mean(EVPs)	Urine mean(EVPs)	CSF mean(EVPs)	Bile mean(EVPs)	Tumor mean	Healthy mean	Urine mean	CSF mean	Diff group
exo_circ_025852	chr3:40502897-40503739|+	chr3:40461406-40462248|+	hsa_circ_0002102	RPL14	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.498(1552)	0.47(372)	0.549(244)	0.256(125)	0.2(5)	0.143(21)	0.784(385)	0.726(175)	0.2(30)	0(4)	14.0625	13.827957	14.79918	0.250244	5.2	1.095238	64.781818	38.074286	4.466667	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in Urine(down);CHB(down);CRC(up);NSCLC(up);MM(up);GC(up);Urine(down)
exo_circ_026269	chr3:47663696-47719801|-	chr3:47622206-47678311|-	hsa_circ_0065249	SMARCC1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.139(1552)	0.099(372)	0.094(244)	0.392(125)	0(5)	0.095(21)	0.055(385)	0.029(175)	0.1(30)	0(4)	3.880155	2.534946	2.67623	1.004243	0.0	0.809524	0.148052	0.12	0.933333	0.0	EVPs in CRC(up);EVPs in MEL(down);EVPs in Urine(down)
exo_circ_026545	chr3:50095160-50099541|+	chr3:50057727-50062108|+	NA	RBM6	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.009(1552)	0.011(372)	0.004(244)	0.032(125)	0(5)	0(21)	0.013(385)	0.011(175)	0(30)	0(4)	0.090851	0.040323	0.032787	0.004389	0.0	0.0	0.012987	0.017143	0.0	0.0	NA
exo_circ_026620	chr3:51474985-51477919|-	chr3:51440969-51443903|-	hsa_circ_0007485	DCAF1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.058(1552)	0.051(372)	0.016(244)	0.056(125)	0(5)	0(21)	0.008(385)	0.04(175)	0.033(30)	0(4)	1.21134	1.502688	0.081967	0.036247	0.0	0.0	0.018182	0.074286	0.033333	0.0	EVPs in Benign(up);EVPs in BRCA(up);EVPs in CRC(up);EVPs in HCC(up);EVPs in OV(up);EVPs in SCLC(up);CRC(down)
exo_circ_026635	chr3:51575513-51586079|+	chr3:51541497-51552063|+	hsa_circ_0001306	RAD54L2	protein coding gene	Blood;CSF;EVPs in Blood;EVPs in Urine;Urine	0.037(1552)	0.027(372)	0.061(244)	0.088(125)	0(5)	0(21)	0.018(385)	0.017(175)	0.167(30)	0.25(4)	0.64433	0.354839	0.67623	0.025698	0.0	0.0	0.041558	0.034286	0.766667	1.5	NA
exo_circ_026767	chr3:52771601-52775515|-	chr3:52737585-52741499|-	hsa_circ_0001309	NEK4	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine	0.519(1552)	0.43(372)	0.48(244)	0.384(125)	0.2(5)	0.238(21)	0.106(385)	0.063(175)	0(30)	0(4)	20.29768	17.209677	24.17623	0.845551	42.6	1.52381	8.088312	5.28	0.0	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in Urine(down);HCC(up);MM(up);GC(down)
exo_circ_026913	chr3:56661064-56662642|-	chr3:56627036-56628614|-	hsa_circ_0001314	FAM208A	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine	0.662(1552)	0.642(372)	0.611(244)	0.232(125)	0.2(5)	0.19(21)	0.491(385)	0.4(175)	0(30)	0(4)	44.830541	54.306452	35.745902	0.206464	11.8	3.238095	42.106494	26.634286	0.0	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in GC(down);EVPs in MEL(down);EVPs in OV(up);EVPs in Urine(down);CHB(down);ESCA(up);NSCLC(up);MM(down);Urine(down)
exo_circ_026944	chr3:56694758-56707753|-	chr3:56660730-56673725|-	hsa_circ_0001315	FAM208A	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.633(1552)	0.538(372)	0.553(244)	0.352(125)	0(5)	0.095(21)	0.714(385)	0.68(175)	0.233(30)	0(4)	38.311211	42.72043	20.717213	0.300247	0.0	0.333333	26.524675	22.388571	3.2	0.0	EVPs in Benign(up);EVPs in Bile(down);EVPs in BRCA(up);EVPs in CRC(up);EVPs in GBM(down);EVPs in KIRC(up);EVPs in MEL(down);EVPs in OV(up);EVPs in SCLC(up);EVPs in Urine(down);CHB(down);MM(up);Urine(down)
exo_circ_027366	chr3:67546221-67571058|-	chr3:67495797-67520634|-	hsa_circ_0008490	SUCLG2	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.01(1552)	0.011(372)	0(244)	0.032(125)	0(5)	0(21)	0.018(385)	0.023(175)	0(30)	0(4)	0.253222	0.064516	0.0	0.005154	0.0	0.0	0.109091	0.085714	0.0	0.0	EVPs in BRCA(up);EVPs in Urine(up)
exo_circ_027791	chr3:93714717-93722752|+	chr3:93995873-94003908|+	hsa_circ_0006135	ARL13B	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.544(1552)	0.478(372)	0.492(244)	0.232(125)	0.2(5)	0.095(21)	0.761(385)	0.76(175)	0.1(30)	0(4)	19.87049	18.978495	16.790984	0.218654	19.2	0.47619	50.657143	36.017143	3.433333	0.0	EVPs in KIRC(up);EVPs in MEL(down);EVPs in OV(up);EVPs in SCLC(up);EVPs in Urine(down);CHB(down);CSF(down);NSCLC(up);MM(up);Urine(down)
exo_circ_027799	chr3:93722502-93722752|+	chr3:94003658-94003908|+	NA	ARL13B	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.341(1552)	0.272(372)	0.389(244)	0.192(125)	0(5)	0.095(21)	0.374(385)	0.194(175)	0(30)	0(4)	12.500644	9.180108	13.909836	0.241313	0.0	1.142857	39.818182	12.017143	0.0	0.0	EVPs in GBM(down);EVPs in MEL(down);EVPs in NSCLC(down);EVPs in SCLC(down);EVPs in Urine(down);CRC(up);ESCA(up);HCC(down);NSCLC(up);GC(up);Urine(down)
exo_circ_028005	chr3:101389973-101391057|-	chr3:101671129-101672213|-	hsa_circ_0003179	ZBTB11	protein coding gene	Blood;EVPs in Blood;EVPs in CSF;EVPs in Urine;Urine	0.57(1552)	0.487(372)	0.529(244)	0.344(125)	0.2(5)	0(21)	0.732(385)	0.737(175)	0.3(30)	0(4)	25.101804	22.548387	19.192623	0.603376	10.2	0.0	26.309091	23.754286	3.4	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in Urine(down);CHB(down);NSCLC(up);MM(up);Urine(down)
exo_circ_028295	chr3:113118752-113125888|-	chr3:113399905-113407041|-	NA	CFAP44	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.003(1552)	0.005(372)	0(244)	0.008(125)	0(5)	0(21)	0.026(385)	0.023(175)	0(30)	0(4)	0.013531	0.107527	0.0	0.000855	0.0	0.0	0.093506	0.137143	0.0	0.0	NA
exo_circ_028304	chr3:113207791-113225452|-	chr3:113488944-113506605|-	hsa_circ_0006163	SPICE1	protein coding gene	Blood;CSF;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.286(1552)	0.215(372)	0.291(244)	0.296(125)	0(5)	0.238(21)	0.67(385)	0.509(175)	0.1(30)	0.25(4)	7.842139	7.104839	11.672131	0.597731	0.0	1.095238	15.309091	10.782857	0.666667	7.75	EVPs in MEL(down);EVPs in Urine(down);CHB(down);Urine(down)
exo_circ_028513	chr3:119582265-119595355|-	chr3:119863418-119876508|-	hsa_circ_0007986	GSK3B	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.312(1552)	0.258(372)	0.246(244)	0.192(125)	0.4(5)	0.048(21)	0.74(385)	0.68(175)	0.133(30)	0(4)	9.169459	7.107527	7.643443	0.126602	25.2	0.142857	47.361039	40.131429	1.166667	0.0	EVPs in CRC(up);EVPs in MEL(down);CHB(down);NSCLC(up);MM(up);Urine(down)
exo_circ_028514	chr3:119582265-119624699|-	chr3:119863418-119905852|-	hsa_circ_0008797	GSK3B	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.364(1552)	0.344(372)	0.369(244)	0.16(125)	0.2(5)	0.048(21)	0.701(385)	0.617(175)	0.1(30)	0(4)	9.01933	9.763441	8.803279	0.257351	9.6	0.285714	11.2	10.474286	1.7	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in ML(down);EVPs in Urine(down);CHB(down);MM(up);Urine(down)
exo_circ_028528	chr3:119624601-119812440|-	chr3:119905754-120093593|-	hsa_circ_0007157	AC092910.1	pseudogene	Blood;EVPs in Blood;EVPs in Urine	0.126(1552)	0.091(372)	0.107(244)	0.024(125)	0(5)	0(21)	0.442(385)	0.291(175)	0(30)	0(4)	2.150129	1.435484	2.135246	0.006897	0.0	0.0	3.851948	3.08	0.0	0.0	EVPs in SCLC(up);EVPs in Urine(down);ESCA(up);NSCLC(up);MM(up);GC(up);Urine(down)
exo_circ_028823	chr3:123649948-123667979|-	chr3:123931101-123949132|-	NA	CCDC14	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.239(1552)	0.234(372)	0.332(244)	0.192(125)	0(5)	0.048(21)	0.356(385)	0.143(175)	0(30)	0(4)	5.898196	7.051075	14.237705	0.170768	0.0	0.095238	12.337662	3.165714	0.0	0.0	EVPs in Benign(down);EVPs in Bile(down);EVPs in MEL(down);EVPs in ML(down);EVPs in NSCLC(down);EVPs in PDAC(down);EVPs in Urine(down);CHB(down);CRC(up);ESCA(up);NSCLC(up);GC(up);Urine(down)
exo_circ_028926	chr3:124996569-125050082|-	chr3:125277725-125331238|-	hsa_circ_0067098	ZNF148	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.233(1552)	0.18(372)	0.209(244)	0.36(125)	0(5)	0.095(21)	0.644(385)	0.52(175)	0.133(30)	0(4)	6.625	5.293011	4.512295	0.573251	0.0	0.333333	16.446753	11.051429	3.9	0.0	EVPs in MEL(down);CHB(down);Urine(down)
exo_circ_029483	chr3:136136726-136141886|-	chr3:136417884-136423044|-	NA	STAG1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.181(1552)	0.159(372)	0.18(244)	0.04(125)	0(5)	0(21)	0.052(385)	0.023(175)	0(30)	0(4)	5.012887	4.561828	4.663934	0.02489	0.0	0.0	0.854545	0.371429	0.0	0.0	EVPs in Bile(down);EVPs in MEL(down);EVPs in Urine(down);HCC(up)
exo_circ_029679	chr3:138289159-138291774|-	chr3:138570317-138572932|-	hsa_circ_0004524	CEP70	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.622(1552)	0.581(372)	0.635(244)	0.336(125)	0(5)	0.143(21)	0.119(385)	0.063(175)	0(30)	0(4)	32.480026	30.916667	29.311475	2.499359	0.0	1.952381	42.316883	29.708571	0.0	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in Urine(down);NSCLC(down);MM(up);GC(down)
exo_circ_029689	chr3:138340248-138347998|+	chr3:138621406-138629156|+	NA	FAIM	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.071(1552)	0.062(372)	0.045(244)	0.264(125)	0(5)	0.048(21)	0.351(385)	0.126(175)	0.1(30)	0(4)	0.885309	0.922043	0.434426	0.257493	0.0	0.047619	11.322078	3.577143	1.666667	0.0	EVPs in CRC(up);EVPs in PDAC(up);CRC(up);ESCA(up);NSCLC(up);GC(up)
exo_circ_030043	chr3:142383043-142396955|+	chr3:142664201-142678113|+	NA	PLS1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.053(1552)	0.048(372)	0.037(244)	0.224(125)	0(5)	0.048(21)	0.309(385)	0.16(175)	0(30)	0(4)	1.065722	0.612903	0.29918	0.697068	0.0	0.190476	1.672727	0.965714	0.0	0.0	EVPs in Urine(up);CHB(down);CRC(up);ESCA(up);HCC(down);NSCLC(up);GC(up);Urine(down)
exo_circ_030046	chr3:142455220-142467302|+	chr3:142736378-142748460|+	hsa_circ_0001345	TRPC1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.098(1552)	0.065(372)	0.074(244)	0.168(125)	0(5)	0(21)	0.499(385)	0.377(175)	0.067(30)	0(4)	1.969716	1.432796	1.409836	0.090155	0.0	0.0	5.802597	4.308571	0.133333	0.0	EVPs in Urine(down);CHB(down);CRC(up);Urine(down)
exo_circ_030215	chr3:145838898-145842016|-	chr3:146121111-146124229|-	NA	PLOD2	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.64(1552)	0.57(372)	0.631(244)	0.504(125)	0.4(5)	0.238(21)	0.808(385)	0.817(175)	0.433(30)	0(4)	38.669459	31.056452	34.668033	2.251546	61.4	3.761905	263.4	157.182857	17.933333	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in GC(down);EVPs in MEL(down);EVPs in Urine(down);CHB(down);MM(up);Urine(down)
exo_circ_030294	chr3:149563797-149629870|+	chr3:149846010-149912083|+	hsa_circ_0003502	RNF13	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.23(1552)	0.196(372)	0.111(244)	0.248(125)	0(5)	0(21)	0.579(385)	0.446(175)	0.233(30)	0(4)	5.556057	6.865591	2.196721	0.313565	0.0	0.0	7.654545	4.954286	1.6	0.0	EVPs in Benign(up);EVPs in BRCA(up);EVPs in CRC(up);EVPs in HCC(up);EVPs in MEL(down);EVPs in PDAC(up);EVPs in SCLC(up);CHB(down);CRC(up);NSCLC(up)
exo_circ_030671	chr3:155611306-155633981|+	chr3:155893517-155916192|+	NA	GMPS	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.062(1552)	0.051(372)	0.029(244)	0.04(125)	0(5)	0.048(21)	0.304(385)	0.24(175)	0(30)	0(4)	0.894974	1.645161	0.778689	0.008815	0.0	0.142857	1.155844	1.651429	0.0	0.0	EVPs in SCLC(up);Urine(down)
exo_circ_030767	chr3:157839891-157841780|+	chr3:158122102-158123991|+	hsa_circ_0001355	RSRC1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine	0.869(1552)	0.863(372)	0.857(244)	0.496(125)	0.4(5)	0.238(21)	0.13(385)	0.023(175)	0(30)	0(4)	132.889175	120.591398	141.094262	2.047672	42.6	6.428571	75.41039	14.742857	0.0	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in Urine(down);CRC(up);HCC(down);GC(up)
exo_circ_030780	chr3:157839891-157921034|+	chr3:158122102-158203245|+	hsa_circ_0067808	RSRC1	protein coding gene	Blood;CSF;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.083(1552)	0.062(372)	0.094(244)	0.176(125)	0(5)	0.048(21)	0.41(385)	0.291(175)	0.1(30)	0.25(4)	1.012887	0.857527	1.467213	0.294151	0.0	1.095238	1.838961	1.274286	0.6	26.0	EVPs in MEL(down);EVPs in SCLC(up);CHB(down);NSCLC(up);MM(up)
exo_circ_030925	chr3:160131260-160137331|+	chr3:160413472-160419543|+	NA	SMC4	protein coding gene	Blood;EVPs in Blood;EVPs in CSF;EVPs in Urine;Urine	0.394(1552)	0.301(372)	0.377(244)	0.024(125)	0.2(5)	0(21)	0.758(385)	0.68(175)	0.067(30)	0(4)	13.737758	19.822581	18.840164	0.002674	0.6	0.0	34.358442	19.377143	0.1	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in ML(down);EVPs in Urine(down);CHB(down);CRC(up);ESCA(up);NSCLC(up);MM(up);GC(up);Urine(down)
exo_circ_031162	chr3:169831147-169840532|-	chr3:170113359-170122744|-	hsa_circ_0006893	PHC3	protein coding gene	EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.398(1552)	0.355(372)	0.287(244)	0.352(125)	0(5)	0.095(21)	0(385)	0(175)	0.367(30)	0(4)	14.472294	13.836022	10.094262	0.537327	0.0	1.285714	0.0	0.0	6.666667	0.0	EVPs in Bile(down);EVPs in CRC(up);EVPs in CSF(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in OV(up);EVPs in SCLC(up);Urine(up)
exo_circ_031762	chr3:183435438-183446639|+	chr3:183717650-183728851|+	hsa_circ_0068174	YEATS2	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.092(1552)	0.083(372)	0.074(244)	0.064(125)	0(5)	0(21)	0.447(385)	0.303(175)	0(30)	0(4)	1.759665	1.580645	1.282787	0.01999	0.0	0.0	5.075325	3.434286	0.0	0.0	EVPs in CRC(up);ESCA(up);NSCLC(up);MM(up);Urine(down)
exo_circ_032212	chr3:188426054-188478070|+	chr3:188708266-188760282|+	NA	LPP	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.004(1552)	0.005(372)	0.004(244)	0.016(125)	0(5)	0(21)	0.052(385)	0.051(175)	0(30)	0(4)	0.115335	0.30914	0.04918	0.006886	0.0	0.0	0.225974	0.48	0.0	0.0	NA
exo_circ_032384	chr3:195047613-195066046|-	chr3:195326884-195345317|-	hsa_circ_0007347	ACAP2	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.186(1552)	0.177(372)	0.152(244)	0.192(125)	0(5)	0(21)	0.751(385)	0.657(175)	0.233(30)	0(4)	3.438789	4.172043	1.721311	0.096423	0.0	0.0	46.355844	27.594286	0.966667	0.0	EVPs in Bile(down);EVPs in BRCA(up);EVPs in CRC(up);EVPs in MEL(down);CHB(down);CRC(up);NSCLC(up);MM(up);GC(up);Urine(down)
exo_circ_032443	chr3:195415403-195416309|+	chr3:195688532-195689438|+	hsa_circ_0008267	MUC20-OT1	lncRNA gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine	0.602(1552)	0.565(372)	0.578(244)	0.496(125)	0.2(5)	0.333(21)	0.086(385)	0.246(175)	0(30)	0(4)	22.425258	24.276882	19.532787	2.67295	6.8	4.333333	1.875325	5.137143	0.0	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in ML(down);EVPs in Urine(down);CHB(down);CRC(down);ESCA(down);HCC(down);Liver_Cirrhosis(up);NSCLC(down);MGUS(up);Urine(down)
exo_circ_032549	chr3:196118683-196129890|-	chr3:196391812-196403019|-	hsa_circ_0001380	UBXN7	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.892(1552)	0.919(372)	0.951(244)	0.72(125)	0.6(5)	0.333(21)	0.865(385)	0.886(175)	0.567(30)	0(4)	93.536727	83.55914	96.827869	14.620917	12.8	6.571429	2652.415584	1560.251429	32.166667	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in KIRC(up);EVPs in MEL(down);EVPs in SCLC(down);EVPs in Urine(down);CHB(down);CSF(down);NSCLC(up);MM(up);GC(up);Urine(down)
exo_circ_032551	chr3:196118683-196134264|-	chr3:196391812-196407393|-	NA	UBXN7	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.392(1552)	0.36(372)	0.344(244)	0.208(125)	0(5)	0(21)	0.714(385)	0.629(175)	0.167(30)	0(4)	14.201031	13.333333	12.864754	0.146884	0.0	0.0	43.781818	27.977143	1.4	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in ML(down);EVPs in Urine(down);CHB(down);NSCLC(up);MM(up);Urine(down)
exo_circ_032629	chr3:196612021-196613565|+	chr3:196885150-196886694|+	hsa_circ_0068669	SENP5	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.084(1552)	0.046(372)	0.053(244)	0.104(125)	0(5)	0.048(21)	0.042(385)	0.011(175)	0.133(30)	0(4)	1.630155	1.505376	2.590164	0.021599	0.0	0.238095	0.384416	0.2	0.433333	0.0	EVPs in KIRC(up);EVPs in SCLC(up);HCC(up);Urine(up)
exo_circ_032689	chr3:196807921-196846401|-	chr3:197081050-197119530|-	hsa_circ_0007203	DLG1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.09(1552)	0.067(372)	0.053(244)	0.248(125)	0(5)	0.048(21)	0.247(385)	0.16(175)	0.033(30)	0(4)	1.306057	1.63172	2.098361	0.643515	0.0	0.285714	1.153247	0.765714	0.266667	0.0	EVPs in Urine(down)
exo_circ_032695	chr3:196817782-196846401|-	chr3:197090911-197119530|-	hsa_circ_0008583	DLG1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine	0.131(1552)	0.11(372)	0.107(244)	0.184(125)	0.2(5)	0.048(21)	0(385)	0.08(175)	0(30)	0(4)	2.699742	4.034946	3.709016	0.725823	39.6	0.095238	0.0	0.531429	0.0	0.0	CRC(down);HCC(down);GC(down)
exo_circ_032718	chr3:196863412-196869639|-	chr3:197136541-197142768|-	hsa_circ_0068699	DLG1	protein coding gene	Blood;EVPs in Blood;EVPs in CSF;EVPs in Urine	0.109(1552)	0.067(372)	0.098(244)	0.192(125)	0.2(5)	0(21)	0.021(385)	0.051(175)	0(30)	0(4)	1.58634	0.854839	1.32377	0.129335	29.2	0.0	0.14026	0.554286	0.0	0.0	EVPs in MEL(down);EVPs in ML(down);EVPs in Urine(down)
exo_circ_032819	chr3:197592293-197602646|+	chr3:197865422-197875775|+	hsa_circ_0008351	LRCH3	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.745(1552)	0.75(372)	0.77(244)	0.576(125)	0.4(5)	0.19(21)	0.813(385)	0.817(175)	0.667(30)	0(4)	63.380155	71.295699	62.012295	3.85351	82.2	7.666667	226.519481	173.622857	53.233333	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in Urine(down);CHB(down);CSF(down);NSCLC(up);MM(up);Urine(down)
exo_circ_032953	chr4:1231970-1235307|-	chr4:1238182-1241519|-	NA	CTBP1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.02(1552)	0.016(372)	0.008(244)	0.024(125)	0(5)	0(21)	0.013(385)	0.023(175)	0(30)	0(4)	0.543814	0.258065	0.053279	0.013193	0.0	0.0	0.122078	0.034286	0.0	0.0	EVPs in CRC(up)
exo_circ_032960	chr4:1656704-1670632|-	chr4:1654977-1668905|-	hsa_circ_0008150	FAM53A	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.008(1552)	0(372)	0(244)	0.024(125)	0(5)	0(21)	0.01(385)	0.006(175)	0(30)	0(4)	0.117912	0.0	0.0	0.004602	0.0	0.0	0.015584	0.005714	0.0	0.0	EVPs in BRCA(up)
exo_circ_033127	chr4:2951660-2952972|-	chr4:2949933-2951245|-	hsa_circ_0006737	NOP14-AS1	lncRNA gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.577(1552)	0.492(372)	0.504(244)	0.368(125)	0.2(5)	0.19(21)	0.761(385)	0.771(175)	0.2(30)	0(4)	31.805412	31.241935	21.602459	0.432516	0.8	1.761905	42.493506	36.091429	10.0	0.0	EVPs in BRCA(up);EVPs in GBM(down);EVPs in KIRC(up);EVPs in MEL(down);EVPs in OV(up);EVPs in Urine(down);CHB(down);Liver_Cirrhosis(up);MM(up);Urine(down)
exo_circ_033129	chr4:2951660-2955372|-	chr4:2949933-2953645|-	hsa_circ_0068956	NOP14-AS1	lncRNA gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.327(1552)	0.25(372)	0.307(244)	0.288(125)	0.2(5)	0.095(21)	0.66(385)	0.566(175)	0.167(30)	0(4)	10.553479	8.416667	9.754098	0.263137	5.6	0.952381	13.992208	11.508571	0.533333	0.0	EVPs in Bile(down);EVPs in KIRC(down);EVPs in MEL(down);EVPs in ML(down);EVPs in OV(up);EVPs in Urine(down);CHB(down);MM(up);Urine(down)
exo_circ_033257	chr4:5664833-5667376|-	chr4:5663106-5665649|-	hsa_circ_0004228	EVC2	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.019(1552)	0.019(372)	0.008(244)	0.224(125)	0(5)	0(21)	0.091(385)	0.04(175)	0(30)	0(4)	0.275129	0.537634	0.110656	0.316839	0.0	0.0	0.314286	0.354286	0.0	0.0	CRC(up)
exo_circ_033468	chr4:15008928-15034835|+	chr4:15007304-15033211|+	hsa_circ_0069224	CPEB2	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.037(1552)	0.038(372)	0.041(244)	0.04(125)	0(5)	0(21)	0.138(385)	0.091(175)	0(30)	0(4)	0.475515	0.58871	0.463115	0.028486	0.0	0.0	0.98961	0.411429	0.0	0.0	CRC(up);HCC(down);GC(up)
exo_circ_033488	chr4:15613888-15646331|-	chr4:15612265-15644708|-	hsa_circ_0069226	FBXL5	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.039(1552)	0.022(372)	0.033(244)	0.12(125)	0(5)	0(21)	0.208(385)	0.154(175)	0.1(30)	0(4)	0.603093	0.287634	0.704918	0.130976	0.0	0.0	0.955844	0.794286	0.133333	0.0	EVPs in OV(up);EVPs in Urine(down);CHB(down)
exo_circ_033495	chr4:15626874-15646331|-	chr4:15625251-15644708|-	hsa_circ_0069227	FBXL5	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.168(1552)	0.14(372)	0.119(244)	0.232(125)	0(5)	0(21)	0.468(385)	0.4(175)	0.167(30)	0(4)	4.83634	3.443548	3.909836	0.151861	0.0	0.0	4.249351	3.84	1.7	0.0	EVPs in Bile(down);EVPs in MEL(down);CHB(down);CRC(up);MGUS(down);MM(down);Urine(down)
exo_circ_033679	chr4:25128885-25160729|-	chr4:25127263-25159107|-	hsa_circ_0069335	SEPSECS	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.142(1552)	0.121(372)	0.107(244)	0.384(125)	0(5)	0(21)	0.561(385)	0.383(175)	0(30)	0(4)	2.859536	3.951613	3.741803	0.603768	0.0	0.0	10.519481	6.788571	0.0	0.0	EVPs in MEL(down);EVPs in Urine(down);CHB(down);CRC(up);NSCLC(up);GC(up);Urine(down)
exo_circ_033703	chr4:25334804-25335610|+	chr4:25333182-25333988|+	hsa_circ_0001398	ZCCHC4	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.322(1552)	0.266(372)	0.23(244)	0.224(125)	0(5)	0(21)	0.213(385)	0.131(175)	0.033(30)	0(4)	9.472294	7.508065	5.901639	0.12232	0.0	0.0	2.748052	1.914286	0.333333	0.0	EVPs in Bile(down);EVPs in BRCA(up);EVPs in CRC(up);EVPs in GBM(down);EVPs in MEL(down);EVPs in OV(up);EVPs in SCLC(up);CHB(down);ESCA(down);NSCLC(down);MM(up);GC(up)
